symbol,signal_count
AAAU,173
AAON,69
ABNB,423
ABT,4474
ACHR,102
ACI,399
ACM,808
ACWI,2021
ACWX,845
ADC,421
ADM,2980
ADMA,121
ADP,3954
ADSK,3281
ADT,156
AEG,4
AEM,2481
AEP,3211
AER,1205
AFG,233
AFRM,382
AGI,95
AGX,44
AHR,80
AI,315
AIT,137
AJG,1476
AL,85
ALAB,23
ALGN,1499
ALLE,1134
ALNY,1461
ALV,1340
AMAT,3967
AMH,915
AMP,2917
AMT,3070
AN,1309
ANET,1494
APD,3675
APH,4951
APLD,167
APLS,462
APO,980
APPF,135
APTV,1930
ARCC,540
ARE,1462
ARES,728
ARGX,619
ARKG,446
ARKK,646
ARM,159
ARMK,1547
ARW,558
AS,123
ASHR,948
ASND,345
ASO,523
ASTS,199
ASX,270
ATI,1401
ATO,1115
ATR,77
AU,1872
AUR,116
AVAV,239
AVDE,8
AVDV,20
AVEM,29
AVGO,2582
AVUV,276
AWI,136
AWK,1519
AXP,7176
AXSM,423
AYI,1224
AZO,3859
B,2958
BA,7354
BAC,5186
BAH,1092
BALL,4371
BAM,156
BAP,835
BBAI,49
BBEU,274
BBIO,347
BBJP,319
BBWI,3997
BC,889
BCE,746
BCS,1098
BDX,4263
BE,566
BEAM,221
BEKE,409
BEN,4176
BHP,2652
BIDU,2554
BIIB,3884
BILI,731
BILL,548
BINC,125
BIO,911
BITB,147
BITO,359
BITU,68
BITX,158
BIV,931
BK,5041
BKLN,1431
BKNG,3147
BKR,3705
BKSY,14
BLD,530
BLDR,805
BLK,2758
BLV,347
BMNR,26
BMO,708
BMRN,1801
BN,3061
BND,2031
BNS,753
BNTX,622
BOOT,414
BOXX,353
BP,5334
BPOP,129
BR,1280
BRKR,330
BRX,764
BSV,1576
BSX,4318
BSY,268
BTC,18
BTDR,90
BTI,1518
BTU,581
BULL,39
BURL,1578
BWA,3429
BWXT,253
BX,2239
BYD,781
BZ,325
C,3499
CACC,538
CACI,301
CADE,76
CAH,4089
CAKE,479
CALM,446
CAR,2282
CARR,646
CART,185
CASY,952
CAT,6295
CAVA,212
CBOE,1418
CBRE,2934
CBRL,635
CBSH,21
CBZ,3
CC,475
CCCS,81
CCEP,2634
CCI,2641
CCJ,1690
CCK,1501
CCL,3353
CDE,520
CDNS,2226
CDW,1333
CE,2219
CEG,456
CELC,7
CELH,714
CF,2867
CFG,1437
CFLT,347
CFR,428
CG,698
CGDV,238
CGGR,133
CGNX,1333
CHDN,1377
CHH,310
CHRD,415
CHRW,2754
CIBR,156
CIEN,2784
CIFR,72
CINF,1105
CIVI,295
CLF,2717
CLH,522
CLS,558
CLSK,300
CLX,3376
CM,1267
CMA,2935
CME,3273
CMI,3780
CMS,2367
CNH,463
CNM,328
CNP,2550
CNR,121
COF,4110
COHR,733
COIN,383
COLB,66
COMM,377
COMP,44
CONL,165
CONY,80
COO,3375
COOP,156
COP,4096
COPX,158
COR,3994
CORZ,95
COUR,4
COWZ,501
CPAY,1945
CPNG,448
CPRI,1562
CRBG,309
CRDO,259
CRH,382
CRL,869
CROX,1069
CRS,479
CRSP,684
CRUS,1306
CSCO,5115
CSGP,3083
CSL,874
CSX,6542
CTRE,90
CTVA,850
CUK,62
CVCO,3
CVE,768
CVNA,1070
CVX,6378
CW,252
CWB,728
CX,2206
CYBR,1000
CYCC,13
CZR,784
D,4016
DAL,2485
DAR,663
DASH,574
DAVE,88
DB,1424
DD,5737
DDOG,665
DDS,948
DECK,3361
DELL,1251
DFAC,267
DFIV,26
DFSV,26
DG,2220
DGRO,1040
DGRW,75
DHI,3330
DHR,4231
DIA,4243
DINO,2404
DIS,8428
DKNG,698
DKS,2499
DLR,2497
DLTR,4129
DOC,2628
DOCN,222
DOCS,334
DOV,3368
DPST,315
DPZ,1615
DRS,28
DTE,2589
DUK,2477
DVA,3068
DVN,3359
DVY,1877
DX,29
DY,417
DYNF,225
EA,4948
EBAY,3656
ECL,2966
EDU,1999
EEM,3139
EFA,3456
EFG,534
EFV,811
EL,3770
ELAN,675
ELF,405
EMB,1813
EME,464
EMLC,448
EMR,5361
EMXC,309
ENTG,805
ENVX,302
EOG,3752
EOSE,29
EPD,2417
EQNR,963
ERJ,279
ES,2092
ESGU,842
ESI,57
ESLT,41
ESTC,819
ETH,32
ETHA,55
ETHE,434
ETHT,9
ETHU,60
ETN,4982
ETR,3830
ETSY,984
EVOK,3
EVR,553
EVRG,1251
EW,3735
EWA,1482
EWBC,800
EWC,2046
EWG,3495
EWH,3404
EWJ,2593
EWT,2166
EWU,1094
EWY,2521
EXC,4050
EXEL,927
