symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,cumulative_pnl,cum_max,drawdown
AVT,1982-08-25,1982-08-30,45.94,44.63,2,2.63,0.26,2.63,2.63,0.0
AMD,1984-08-08,1984-08-13,18.57,18.12,5,2.25,0.22,4.88,4.88,0.0
AMD,1985-01-17,1985-01-21,17.2,16.12,5,5.4,0.54,10.280000000000001,10.280000000000001,0.0
CAR,1986-06-13,1986-06-17,33.86,30.0,2,7.72,0.77,18.0,18.0,0.0
CMCSA,1987-11-06,1987-11-11,20.85,18.76,4,8.35,0.84,26.35,26.35,0.0
CAR,1987-12-09,1987-12-14,16.01,17.5,6,-8.94,-0.89,17.410000000000004,26.35,-8.939999999999998
CAR,1987-12-10,1987-12-15,17.06,19.0,5,-9.7,-0.97,7.710000000000004,26.35,-18.639999999999997
CAR,1987-12-11,1987-12-16,17.59,18.25,5,-3.3,-0.33,4.410000000000005,26.35,-21.939999999999998
CAR,1987-12-15,1987-12-17,19.95,18.63,5,6.62,0.66,11.030000000000005,26.35,-15.319999999999997
AVT,1987-12-15,1987-12-18,25.99,25.38,3,1.84,0.18,12.870000000000005,26.35,-13.479999999999997
CMCSA,1987-12-15,1987-12-18,22.0,24.61,4,-10.44,-1.04,2.430000000000005,26.35,-23.919999999999995
CGNX,1989-10-10,1989-10-13,16.01,15.12,6,5.31,0.53,7.740000000000005,26.35,-18.609999999999996
CGNX,1989-10-11,1989-10-13,16.8,15.12,5,8.38,0.84,16.120000000000005,26.35,-10.229999999999997
CGNX,1989-10-26,1989-10-30,18.9,16.63,5,11.37,1.14,27.490000000000002,27.490000000000002,0.0
CGNX,1990-03-27,1990-03-29,20.48,19.5,4,3.92,0.39,31.410000000000004,31.410000000000004,0.0
CGNX,1990-05-25,1990-05-30,31.5,30.25,3,3.75,0.38,35.160000000000004,35.160000000000004,0.0
CDNS,1990-10-19,1990-10-24,19.56,18.62,5,4.67,0.47,39.830000000000005,39.830000000000005,0.0
CDNS,1990-10-24,1990-10-26,19.95,17.38,5,12.87,1.29,52.7,52.7,0.0
CGNX,1990-10-23,1990-10-29,27.56,24.75,3,8.43,0.84,61.13,61.13,0.0
CGNX,1991-03-12,1991-03-15,45.68,45.25,2,0.86,0.09,61.99,61.99,0.0
AMD,1991-04-18,1991-04-22,7.48,6.75,13,9.49,0.95,71.48,71.48,0.0
CBRL,1991-05-24,1991-05-29,34.13,31.0,2,6.26,0.63,77.74000000000001,77.74000000000001,0.0
AMD,1991-10-15,1991-10-18,5.85,5.5,17,5.95,0.59,83.69000000000001,83.69000000000001,0.0
CDNS,1991-10-22,1991-10-25,22.18,20.5,4,6.72,0.67,90.41000000000001,90.41000000000001,0.0
CDNS,1991-10-23,1991-10-25,22.58,20.5,4,8.32,0.83,98.73000000000002,98.73000000000002,0.0
BIIB,1991-12-13,1991-12-18,15.49,14.0,5,7.45,0.75,106.18000000000002,106.18000000000002,0.0
CGNX,1991-12-31,1992-01-03,53.55,48.75,1,4.8,0.48,110.98000000000002,110.98000000000002,0.0
BIIB,1992-01-15,1992-01-17,21.0,19.25,4,7.0,0.7,117.98000000000002,117.98000000000002,0.0
CGNX,1992-07-02,1992-07-07,13.91,11.25,6,15.96,1.6,133.94000000000003,133.94000000000003,0.0
AMD,1993-04-23,1993-04-27,16.28,14.5,6,10.68,1.07,144.62000000000003,144.62000000000003,0.0
CDNS,1993-06-17,1993-06-21,14.44,12.5,6,11.64,1.16,156.26000000000005,156.26000000000005,0.0
CMCSA,1993-10-15,1993-10-19,41.57,36.43,2,10.29,1.03,166.55000000000004,166.55000000000004,0.0
CGNX,1993-11-02,1993-11-05,16.8,15.25,5,7.75,0.78,174.30000000000004,174.30000000000004,0.0
CGNX,1994-01-28,1994-02-01,20.21,18.25,4,7.84,0.78,182.14000000000004,182.14000000000004,0.0
AMD,1994-03-11,1994-03-15,15.16,14.19,6,5.82,0.58,187.96000000000004,187.96000000000004,0.0
AMD,1994-03-17,1994-03-22,15.49,15.44,6,0.3,0.03,188.26000000000005,188.26000000000005,0.0
AMD,1994-03-18,1994-03-23,15.55,15.62,6,-0.42,-0.04,187.84000000000006,188.26000000000005,-0.4199999999999875
CGNX,1994-03-18,1994-03-23,26.25,24.75,3,4.5,0.45,192.34000000000006,192.34000000000006,0.0
CDNS,1994-03-22,1994-03-24,16.14,14.75,6,8.34,0.83,200.68000000000006,200.68000000000006,0.0
ADSK,1994-08-26,1994-08-31,8.14,7.68,12,5.52,0.55,206.20000000000007,206.20000000000007,0.0
ADSK,1994-11-22,1994-11-25,10.16,8.86,9,11.7,1.17,217.90000000000006,217.90000000000006,0.0
CDNS,1995-05-02,1995-05-04,34.26,32.0,2,4.52,0.45,222.42000000000007,222.42000000000007,0.0
CAKE,1995-05-18,1995-05-22,26.64,24.0,3,7.92,0.79,230.34000000000006,230.34000000000006,0.0
ASML,1995-07-14,1995-07-18,65.62,58.6,1,7.02,0.7,237.36000000000007,237.36000000000007,0.0
ASML,1995-07-28,1995-08-02,75.85,65.75,1,10.1,1.01,247.46000000000006,247.46000000000006,0.0
CGNX,1995-10-18,1995-10-20,57.22,54.25,1,2.97,0.3,250.43000000000006,250.43000000000006,0.0
ASML,1995-10-19,1995-10-23,67.16,63.15,1,4.01,0.4,254.44000000000005,254.44000000000005,0.0
CDNS,1995-10-19,1995-10-24,52.89,52.12,1,0.77,0.08,255.21000000000006,255.21000000000006,0.0
CDNS,1995-10-24,1995-10-26,54.99,50.62,1,4.37,0.44,259.58000000000004,259.58000000000004,0.0
CGNX,1995-10-24,1995-10-27,60.38,59.25,1,1.13,0.11,260.71000000000004,260.71000000000004,0.0
CGNX,1995-10-25,1995-10-27,65.89,59.25,1,6.64,0.66,267.35,267.35,0.0
ASML,1995-10-25,1995-10-27,68.52,61.69,1,6.83,0.68,274.18,274.18,0.0
BIIB,1995-11-07,1995-11-10,14.44,13.88,5,2.82,0.28,277.0,277.0,0.0
BIIB,1995-12-22,1995-12-28,18.24,20.37,5,-10.67,-1.07,266.33,277.0,-10.670000000000016
BIIB,1995-12-27,1995-12-29,24.28,19.88,4,17.62,1.76,283.95,283.95,0.0
ASML,1996-01-09,1996-01-11,58.12,53.57,1,4.55,0.45,288.5,288.5,0.0
ADI,1996-02-08,1996-02-14,7.96,7.55,12,4.89,0.49,293.39,293.39,0.0
ADI,1996-02-09,1996-02-14,8.19,7.55,12,7.65,0.77,301.03999999999996,301.03999999999996,0.0
ADSK,1996-02-09,1996-02-14,9.49,9.29,10,2.0,0.2,303.03999999999996,303.03999999999996,0.0
ADSK,1996-02-14,1996-02-16,9.79,8.86,10,9.3,0.93,312.34,312.34,0.0
CGNX,1996-03-14,1996-03-19,25.2,26.75,3,-4.65,-0.47,307.69,312.34,-4.649999999999977
CGNX,1996-03-19,1996-03-21,28.09,25.0,3,9.27,0.93,316.96,316.96,0.0
BIIB,1996-04-02,1996-04-08,25.59,26.75,3,-3.48,-0.35,313.47999999999996,316.96,-3.480000000000018
BIIB,1996-04-04,1996-04-09,27.56,26.0,3,4.68,0.47,318.15999999999997,318.15999999999997,0.0
BIIB,1996-04-03,1996-04-09,26.25,26.0,3,0.75,0.08,318.90999999999997,318.90999999999997,0.0
CAPS,1996-04-17,1996-04-22,31.24,34.0,3,-8.28,-0.83,310.63,318.90999999999997,-8.279999999999973
CAPS,1996-04-18,1996-04-23,34.52,36.62,2,-4.21,-0.42,306.42,318.90999999999997,-12.489999999999952
CAPS,1996-04-23,1996-04-25,37.8,33.06,2,9.47,0.95,315.89000000000004,318.90999999999997,-3.019999999999925
ADBE,1996-04-26,1996-04-30,5.53,5.1,18,7.74,0.77,323.63000000000005,323.63000000000005,0.0
CAPS,1996-05-22,1996-05-28,44.1,52.5,2,-16.8,-1.68,306.83000000000004,323.63000000000005,-16.80000000000001
CDNS,1996-08-01,1996-08-06,32.02,31.38,2,1.29,0.13,308.12000000000006,323.63000000000005,-15.509999999999991
CAPS,1996-08-01,1996-08-06,9.19,9.75,3,-1.68,-0.17,306.44000000000005,323.63000000000005,-17.189999999999998
CDNS,1996-08-02,1996-08-06,33.47,31.38,2,4.19,0.42,310.63000000000005,323.63000000000005,-13.0
CAPS,1996-08-21,1996-08-23,10.76,9.5,6,7.56,0.76,318.19000000000005,323.63000000000005,-5.439999999999998
BIIB,1996-08-20,1996-08-23,22.31,22.12,4,0.74,0.07,318.93000000000006,323.63000000000005,-4.699999999999989
CDNS,1996-09-17,1996-09-20,37.8,36.38,2,2.85,0.28,321.7800000000001,323.63000000000005,-1.849999999999966
CDNS,1996-09-18,1996-09-20,38.46,36.38,2,4.17,0.42,325.9500000000001,325.9500000000001,0.0
AMD,1996-10-15,1996-10-18,9.25,8.69,10,5.6,0.56,331.5500000000001,331.5500000000001,0.0
AMD,1996-11-15,1996-11-20,13.0,12.62,7,2.66,0.27,334.21000000000015,334.21000000000015,0.0
CGNX,1996-12-03,1996-12-05,21.79,20.25,4,6.16,0.62,340.3700000000002,340.3700000000002,0.0
CHKP,1996-12-31,1997-01-03,23.1,20.62,4,9.9,0.99,350.27000000000015,350.27000000000015,0.0
CHKP,1997-01-31,1997-02-04,29.01,25.25,3,11.28,1.13,361.5500000000001,361.5500000000001,0.0
ADSK,1997-02-20,1997-02-24,9.07,8.61,11,5.06,0.51,366.6100000000001,366.6100000000001,0.0
BIIB,1997-03-12,1997-03-14,31.63,28.88,3,8.26,0.83,374.8700000000001,374.8700000000001,0.0
AMD,1997-03-14,1997-03-18,24.87,22.75,4,8.48,0.85,383.35000000000014,383.35000000000014,0.0
ADBE,1997-03-27,1997-04-01,5.52,4.83,18,12.42,1.24,395.77000000000015,395.77000000000015,0.0
