symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,cumulative_pnl,cum_max,drawdown
AMGN,1986-04-22,1986-04-24,0.34,0.37,257,6.99,0.7,6.99,6.99,0.0
AMGN,1986-04-23,1986-05-01,0.35,0.32,269,-7.45,-0.75,-0.45999999999999996,6.99,-7.45
AMGN,1986-04-24,1986-05-02,0.36,0.32,271,-10.22,-1.02,-10.68,6.99,-17.67
AMGN,1986-04-29,1986-05-05,0.35,0.4,285,13.45,1.35,2.7699999999999996,6.99,-4.220000000000001
AMGN,1986-04-30,1986-05-05,0.35,0.4,285,13.45,1.35,16.22,16.22,0.0
AMGN,1986-05-01,1986-05-05,0.31,0.4,317,27.64,2.76,43.86,43.86,0.0
AMGN,1986-04-25,1986-05-06,0.36,0.41,277,14.45,1.44,58.31,58.31,0.0
AAPL,1987-01-22,1987-01-28,0.18,0.2,555,10.53,1.05,68.84,68.84,0.0
AAPL,1987-01-27,1987-01-29,0.18,0.21,555,16.36,1.64,85.2,85.2,0.0
CAR,1987-01-27,1987-02-04,17.46,18.25,5,3.95,0.4,89.15,89.15,0.0
CAR,1987-01-28,1987-02-05,17.7,18.0,5,1.5,0.15,90.65,90.65,0.0
CAR,1987-01-29,1987-02-06,17.46,17.5,5,0.2,0.02,90.85000000000001,90.85000000000001,0.0
ADSK,1987-02-06,1987-02-17,2.15,2.41,46,11.96,1.2,102.81,102.81,0.0
AMGN,1987-03-04,1987-03-09,0.53,0.55,188,4.65,0.47,107.46000000000001,107.46000000000001,0.0
AAPL,1987-03-03,1987-03-11,0.25,0.25,400,0.86,0.09,108.32000000000001,108.32000000000001,0.0
ADBE,1987-03-24,1987-03-26,0.81,0.91,109,10.9,1.09,119.22000000000001,119.22000000000001,0.0
ADBE,1987-03-19,1987-03-30,0.91,0.97,109,6.54,0.65,125.76000000000002,125.76000000000002,0.0
ADBE,1987-05-13,1987-05-15,1.46,1.56,68,6.8,0.68,132.56000000000003,132.56000000000003,0.0
CAR,1987-06-18,1987-06-23,24.25,25.5,4,5.0,0.5,137.56000000000003,137.56000000000003,0.0
CAR,1987-06-19,1987-06-23,24.25,25.5,4,5.0,0.5,142.56000000000003,142.56000000000003,0.0
ADSK,1987-08-19,1987-08-21,3.37,3.61,29,6.96,0.7,149.52000000000004,149.52000000000004,0.0
AMD,1988-03-02,1988-03-04,5.7,6.12,17,7.14,0.71,156.66000000000003,156.66000000000003,0.0
ADSK,1988-03-11,1988-03-15,2.91,3.06,34,5.1,0.51,161.76000000000002,161.76000000000002,0.0
AMD,1988-03-11,1988-03-21,6.13,6.19,16,0.96,0.1,162.72000000000003,162.72000000000003,0.0
CGNX,1990-01-05,1990-01-15,19.64,20.12,5,2.42,0.24,165.14000000000001,165.14000000000001,0.0
ADBE,1990-01-11,1990-01-15,1.24,1.29,80,4.0,0.4,169.14000000000001,169.14000000000001,0.0
ADBE,1990-03-21,1990-03-29,2.41,2.32,41,-3.69,-0.37,165.45000000000002,169.14000000000001,-3.6899999999999977
ADBE,1990-03-22,1990-03-30,2.29,2.25,43,-1.72,-0.17,163.73000000000002,169.14000000000001,-5.409999999999997
ADBE,1990-03-23,1990-04-02,2.26,2.19,44,-3.08,-0.31,160.65,169.14000000000001,-8.490000000000009
CGNX,1990-06-08,1990-06-18,29.59,27.75,3,-5.52,-0.55,155.13,169.14000000000001,-14.01000000000002
CMCSA,1990-12-14,1990-12-20,11.23,12.06,8,6.65,0.66,161.78,169.14000000000001,-7.360000000000014
AMAT,1991-02-05,1991-02-07,0.34,0.37,294,9.58,0.96,171.36,171.36,0.0
AMAT,1991-02-06,1991-02-08,0.33,0.36,303,10.43,1.04,181.79000000000002,181.79000000000002,0.0
ADBE,1991-02-15,1991-02-20,2.42,2.58,41,6.56,0.66,188.35000000000002,188.35000000000002,0.0
AMD,1991-02-15,1991-02-21,3.76,4.07,26,8.06,0.81,196.41000000000003,196.41000000000003,0.0
AMGN,1991-02-28,1991-03-04,2.83,3.0,35,5.89,0.59,202.3,202.3,0.0
AMGN,1991-03-13,1991-03-15,3.55,3.9,28,9.74,0.97,212.04000000000002,212.04000000000002,0.0
CGNX,1991-03-27,1991-04-05,44.62,45.25,2,1.26,0.13,213.3,213.3,0.0
CGNX,1991-03-28,1991-04-08,42.68,44.5,2,3.64,0.36,216.94,216.94,0.0
ADBE,1991-04-10,1991-04-12,3.34,3.58,29,6.96,0.7,223.9,223.9,0.0
ADBE,1991-04-11,1991-04-15,3.3,3.66,30,10.8,1.08,234.70000000000002,234.70000000000002,0.0
CMCSA,1991-09-26,1991-10-04,15.36,15.72,6,2.13,0.21,236.83,236.83,0.0
ADBE,1992-01-08,1992-01-16,3.76,3.81,26,1.3,0.13,238.13000000000002,238.13000000000002,0.0
AMD,1992-01-17,1992-01-21,8.61,9.81,11,13.2,1.32,251.33,251.33,0.0
AMD,1992-01-16,1992-01-22,9.33,10.0,10,6.7,0.67,258.03000000000003,258.03000000000003,0.0
CGNX,1992-09-29,1992-10-01,14.06,15.5,5,7.2,0.72,265.23,265.23,0.0
AMD,1992-11-04,1992-11-06,7.52,8.12,13,7.8,0.78,273.03000000000003,273.03000000000003,0.0
CGNX,1993-01-13,1993-01-15,20.37,22.75,4,9.52,0.95,282.55,282.55,0.0
CGNX,1993-01-14,1993-01-18,20.61,23.0,4,9.56,0.96,292.11,292.11,0.0
ADBE,1993-01-28,1993-02-02,2.41,2.64,41,9.43,0.94,301.54,301.54,0.0
CGNX,1993-05-25,1993-06-03,26.43,27.0,3,1.71,0.17,303.25,303.25,0.0
CGNX,1993-05-26,1993-06-04,26.43,26.75,3,0.96,0.1,304.21,304.21,0.0
CGNX,1993-05-27,1993-06-07,26.19,27.25,3,3.18,0.32,307.39,307.39,0.0
ADBE,1993-05-28,1993-06-08,3.95,3.75,25,-5.0,-0.5,302.39,307.39,-5.0
ADBE,1994-02-02,1994-02-10,3.4,3.57,29,4.93,0.49,307.32,307.39,-0.06999999999999318
ADBE,1994-02-03,1994-02-11,3.45,3.54,28,2.52,0.25,309.84,309.84,0.0
CGNX,1994-02-09,1994-02-11,18.19,19.25,5,5.3,0.53,315.14,315.14,0.0
CGNX,1994-02-25,1994-03-01,20.86,22.25,4,5.56,0.56,320.7,320.7,0.0
CGNX,1994-03-03,1994-03-07,20.61,21.25,4,2.56,0.26,323.26,323.26,0.0
CGNX,1994-03-02,1994-03-10,21.1,19.25,4,-7.4,-0.74,315.86,323.26,-7.399999999999977
AMD,1994-03-25,1994-03-31,14.55,15.56,6,6.06,0.61,321.92,323.26,-1.339999999999975
AMD,1994-04-21,1994-04-25,11.64,12.69,8,8.4,0.84,330.32,330.32,0.0
CGNX,1994-11-03,1994-11-11,23.04,22.75,4,-1.16,-0.12,329.15999999999997,330.32,-1.160000000000025
CGNX,1995-01-04,1995-01-13,23.76,26.25,4,9.96,1.0,339.11999999999995,339.11999999999995,0.0
AMGN,1995-02-14,1995-02-17,5.95,6.22,16,4.35,0.43,343.46999999999997,343.46999999999997,0.0
AMGN,1995-02-15,1995-02-24,5.98,6.08,16,1.59,0.16,345.05999999999995,345.05999999999995,0.0
AMGN,1995-02-16,1995-02-27,5.98,6.18,16,3.27,0.33,348.3299999999999,348.3299999999999,0.0
ADBE,1995-04-05,1995-04-11,5.7,6.19,17,8.33,0.83,356.6599999999999,356.6599999999999,0.0
ADBE,1995-04-07,1995-04-11,5.7,6.19,17,8.33,0.83,364.9899999999999,364.9899999999999,0.0
AMAT,1995-05-31,1995-06-02,3.72,3.98,26,6.69,0.67,371.6799999999999,371.6799999999999,0.0
ADI,1995-05-31,1995-06-02,5.52,5.97,18,8.13,0.81,379.8099999999999,379.8099999999999,0.0
CAKE,1995-05-31,1995-06-02,23.64,24.5,4,3.44,0.34,383.2499999999999,383.2499999999999,0.0
ADI,1995-05-25,1995-06-05,5.84,6.02,17,2.99,0.3,386.2399999999999,386.2399999999999,0.0
ADI,1995-05-26,1995-06-06,5.77,6.06,17,4.95,0.5,391.1899999999999,391.1899999999999,0.0
CAKE,1995-06-01,1995-06-06,24.13,25.63,4,5.98,0.6,397.1699999999999,397.1699999999999,0.0
CGNX,1995-10-31,1995-11-02,57.47,64.0,1,6.53,0.65,403.6999999999999,403.6999999999999,0.0
CGNX,1995-11-08,1995-11-10,57.96,62.25,1,4.29,0.43,407.9899999999999,407.9899999999999,0.0
CGNX,1995-11-07,1995-11-13,60.14,63.5,1,3.36,0.34,411.3499999999999,411.3499999999999,0.0
BIIB,1995-11-14,1995-11-22,12.73,12.25,7,-3.36,-0.34,407.9899999999999,411.3499999999999,-3.3600000000000136
BIIB,1995-12-29,1996-01-09,19.28,19.25,4,-0.12,-0.01,407.8699999999999,411.3499999999999,-3.480000000000018
BIIB,1996-09-19,1996-09-27,24.07,27.38,4,13.22,1.32,421.0899999999999,421.0899999999999,0.0
BIIB,1996-09-20,1996-09-27,24.01,27.38,4,13.46,1.35,434.5499999999999,434.5499999999999,0.0
AMD,1996-11-22,1996-12-03,11.82,12.75,8,7.44,0.74,441.9899999999999,441.9899999999999,0.0
BIIB,1996-12-10,1996-12-18,22.92,20.25,4,-10.68,-1.07,431.3099999999999,441.9899999999999,-10.680000000000007
AMAT,1997-01-28,1997-01-30,4.38,4.68,22,6.64,0.66,437.9499999999999,441.9899999999999,-4.0400000000000205
