symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,cumulative_pnl,cum_max,drawdown,r_multiple
AAL,2006-04-18,2006-08-08,37.1,42.31,2,14.04,1.4,14.04,14.04,0.0,1.8921832884097034
AAL,2006-05-17,2006-08-08,47.5,42.31,2,-10.93,-1.09,3.1099999999999994,14.04,-10.93,-1.1505263157894736
AAL,2006-05-16,2006-08-08,49.5,42.31,2,-14.53,-1.45,-11.42,14.04,-25.46,-1.4676767676767675
AAL,2006-05-12,2006-08-08,48.75,42.31,2,-13.22,-1.32,-24.64,14.04,-38.68,-1.355897435897436
AAL,2006-05-11,2006-08-08,49.25,42.31,2,-14.1,-1.41,-38.74,14.04,-52.78,-1.4314720812182742
AAL,2006-05-09,2006-08-08,48.25,42.31,2,-12.32,-1.23,-51.06,14.04,-65.1,-1.2766839378238342
AAL,2006-05-05,2006-08-08,48.05,42.31,2,-11.95,-1.2,-63.010000000000005,14.04,-77.05000000000001,-1.2434963579604579
AAL,2006-05-04,2006-08-08,48.4,42.31,2,-12.59,-1.26,-75.60000000000001,14.04,-89.64000000000001,-1.3006198347107438
AAL,2006-05-03,2006-08-08,46.2,42.31,2,-8.43,-0.84,-84.03,14.04,-98.07,-0.9123376623376623
AAL,2006-05-10,2006-08-08,51.73,42.31,1,-18.21,-1.82,-102.24000000000001,14.04,-116.28,-3.5202010438816935
AAL,2006-04-28,2006-08-08,44.3,42.31,2,-4.5,-0.45,-106.74000000000001,14.04,-120.78,-0.5079006772009029
AAL,2006-04-27,2006-08-08,42.99,42.31,2,-1.59,-0.16,-108.33000000000001,14.04,-122.37,-0.18492672714584787
AAL,2006-04-26,2006-08-08,42.4,42.31,2,-0.22,-0.02,-108.55000000000001,14.04,-122.59,-0.025943396226415092
AAL,2006-04-25,2006-08-08,42.0,42.31,2,0.73,0.07,-107.82000000000001,14.04,-121.86000000000001,0.0869047619047619
AAL,2006-04-21,2006-08-08,38.27,42.31,2,10.55,1.06,-97.27000000000001,14.04,-111.31,1.3783642539848444
AAL,2006-04-20,2006-08-08,38.65,42.31,2,9.46,0.95,-87.81,14.04,-101.85,1.2238033635187582
AAL,2006-04-19,2006-08-08,37.3,42.31,2,13.42,1.34,-74.39,14.04,-88.43,1.7989276139410189
AAL,2006-05-02,2006-08-08,45.1,42.31,2,-6.19,-0.62,-80.58,14.04,-94.62,-0.6862527716186253
