symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,cumulative_pnl,cum_max,drawdown,r_multiple
AAL,2014-03-06,2014-04-08,36.09,31.71,2,-12.12,-1.21,-12.12,-12.12,0.0,-1.6791354945968409
AAL,2014-03-07,2014-04-08,36.98,32.41,2,-12.35,-1.24,-24.47,-12.12,-12.35,-1.6698215251487292
AAL,2014-03-11,2014-04-08,36.45,31.83,2,-12.69,-1.27,-37.16,-12.12,-25.04,-1.7407407407407407
AAL,2014-03-05,2014-04-14,35.45,31.04,2,-12.42,-1.24,-49.58,-12.12,-37.46,-1.7517630465444287
AAL,2014-03-12,2014-04-14,35.77,31.02,2,-13.29,-1.33,-62.87,-12.12,-50.75,-1.85770198490355
AAL,2014-03-13,2014-04-14,35.73,31.07,2,-13.04,-1.3,-75.91,-12.12,-63.79,-1.8247970892807166
AAL,2014-03-18,2014-04-15,35.61,30.37,2,-14.72,-1.47,-90.63,-12.12,-78.50999999999999,-2.0668351586632965
AAL,2014-02-26,2014-04-15,34.99,30.08,2,-14.03,-1.4,-104.66,-12.12,-92.53999999999999,-2.004858531008859
AAL,2014-02-27,2014-04-15,34.77,30.21,2,-13.12,-1.31,-117.78,-12.12,-105.66,-1.8866839229220589
AAL,2014-03-04,2014-04-15,34.48,30.06,2,-12.81,-1.28,-130.59,-12.12,-118.47,-1.8575986078886315
AAL,2014-03-26,2014-04-15,35.97,30.53,2,-15.1,-1.51,-145.69,-12.12,-133.57,-2.098971365026411
AAL,2014-06-10,2014-07-08,41.01,36.11,2,-11.96,-1.2,-157.65,-12.12,-145.53,-1.4581809314801268
AAL,2014-06-05,2014-07-08,40.54,35.89,2,-11.45,-1.15,-169.1,-12.12,-156.98,-1.4121854958066107
AAL,2014-06-11,2014-08-04,40.44,35.61,2,-11.95,-1.2,-181.04999999999998,-12.12,-168.92999999999998,-1.4774975272007913
AAL,2014-06-24,2014-08-05,41.61,35.37,2,-15.0,-1.5,-196.04999999999998,-12.12,-183.92999999999998,-1.802451333813987
AAL,2014-06-06,2014-08-05,40.02,35.32,2,-11.73,-1.17,-207.77999999999997,-12.12,-195.65999999999997,-1.46551724137931
AAL,2014-06-26,2014-08-05,41.44,34.83,2,-15.96,-1.6,-223.73999999999998,-12.12,-211.61999999999998,-1.9256756756756757
AAL,2014-06-27,2014-08-05,41.76,35.1,2,-15.95,-1.59,-239.68999999999997,-12.12,-227.56999999999996,-1.909722222222222
AAL,2014-06-20,2014-08-06,40.58,34.58,2,-14.77,-1.48,-254.45999999999998,-12.12,-242.33999999999997,-1.8198620009857072
AAL,2014-07-01,2014-08-06,40.96,34.21,2,-16.46,-1.65,-270.91999999999996,-12.12,-258.79999999999995,-2.00927734375
AAL,2014-06-03,2014-08-06,38.78,34.29,2,-11.57,-1.16,-282.48999999999995,-12.12,-270.36999999999995,-1.4917483238782878
AAL,2014-07-16,2014-08-06,41.48,34.69,2,-16.37,-1.64,-298.85999999999996,-12.12,-286.73999999999995,-1.9732401157184187
AAL,2014-06-04,2014-08-06,38.99,34.51,2,-11.49,-1.15,-310.34999999999997,-12.12,-298.22999999999996,-1.4734547319825595
AAL,2014-06-19,2014-08-06,40.38,34.39,2,-14.83,-1.48,-325.17999999999995,-12.12,-313.05999999999995,-1.8363051015354135
AAL,2014-06-18,2014-08-08,39.5,33.6,2,-14.93,-1.49,-340.10999999999996,-12.12,-327.98999999999995,-1.8898734177215188
AAL,2014-06-25,2014-08-08,40.44,33.96,2,-16.03,-1.6,-356.14,-12.12,-344.02,-1.9819485657764593
AAL,2014-07-17,2014-08-08,40.58,33.96,2,-16.31,-1.63,-372.45,-12.12,-360.33,-2.0096106456382454
AAL,2014-06-12,2014-08-08,38.91,33.9,2,-12.87,-1.29,-385.32,-12.12,-373.2,-1.653816499614495
AAL,2014-07-15,2014-08-08,40.85,33.9,2,-17.01,-1.7,-402.33,-12.12,-390.21,-2.0820073439412488
AAL,2014-07-22,2014-08-08,40.26,33.53,2,-16.7,-1.67,-419.03,-12.12,-406.90999999999997,-2.074018877297566
AAL,2014-07-23,2014-08-08,40.28,33.63,2,-16.49,-1.65,-435.52,-12.12,-423.4,-2.046921549155908
AAL,2014-07-24,2014-08-08,40.07,33.56,2,-16.24,-1.62,-451.76,-12.12,-439.64,-2.0264537060144745
