symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,cumulative_pnl,cum_max,drawdown
SPY,1993-04-27,1993-05-04,43.3438,44.54,4,-4.78,-0.48,-4.78,-4.78,0.0
SPY,1994-03-31,1994-05-02,44.4688,45.59,4,-4.49,-0.45,-9.27,-4.78,-4.489999999999999
SPY,1994-04-05,1994-05-02,44.3438,45.56,4,-4.88,-0.49,-14.149999999999999,-4.78,-9.369999999999997
SPY,1994-03-30,1994-06-03,45.125,46.22,4,-4.39,-0.44,-18.54,-4.78,-13.759999999999998
SPY,1994-06-27,1994-07-14,44.2344,45.46,4,-4.89,-0.49,-23.43,-4.78,-18.65
SPY,1994-03-25,1994-08-17,46.4063,46.7,4,-1.19,-0.12,-24.62,-4.78,-19.84
SPY,1994-03-28,1994-08-17,46.0,46.7,4,-2.81,-0.28,-27.43,-4.78,-22.65
SPY,1994-10-07,1994-10-11,45.25,46.39,4,-4.55,-0.45,-31.98,-4.78,-27.2
SPY,1994-12-09,1994-12-21,44.875,46.18,4,-5.24,-0.52,-37.22,-4.78,-32.44
SPY,1994-11-23,1994-12-27,45.0313,46.34,4,-5.23,-0.52,-42.45,-4.78,-37.67
SPY,1996-04-12,1996-04-26,63.3594,65.65,3,-6.87,-0.69,-49.32,-4.78,-44.54
SPY,1996-07-16,1996-08-01,62.8438,65.19,3,-7.05,-0.71,-56.37,-4.78,-51.589999999999996
SPY,1997-04-14,1997-04-22,73.7344,77.18,2,-6.89,-0.69,-63.26,-4.78,-58.48
SPY,1997-04-03,1997-04-23,74.4375,77.82,2,-6.77,-0.68,-70.03,-4.78,-65.25
SPY,1997-04-01,1997-04-29,75.25,78.61,2,-6.73,-0.67,-76.76,-4.78,-71.98
SPY,1997-10-28,1997-10-29,84.375,89.26,2,-9.78,-0.98,-86.54,-4.78,-81.76
SPY,1998-06-04,1998-06-10,108.25,112.81,1,-4.56,-0.46,-91.10000000000001,-4.78,-86.32000000000001
SPY,1998-06-16,1998-06-24,108.4063,113.16,1,-4.76,-0.48,-95.86000000000001,-4.78,-91.08000000000001
SPY,1998-09-01,1998-09-08,96.0625,102.39,2,-12.65,-1.27,-108.51000000000002,-4.78,-103.73000000000002
SPY,1998-08-28,1998-10-30,104.9688,110.78,1,-5.81,-0.58,-114.32000000000002,-4.78,-109.54000000000002
SPY,1998-08-31,1998-10-30,103.75,109.65,1,-5.9,-0.59,-120.22000000000003,-4.78,-115.44000000000003
SPY,1998-08-17,1998-11-02,106.0,111.37,1,-5.37,-0.54,-125.59000000000003,-4.78,-120.81000000000003
SPY,1998-08-05,1998-11-04,107.9375,112.99,1,-5.06,-0.51,-130.65000000000003,-4.78,-125.87000000000003
SPY,1998-08-12,1998-11-04,107.75,113.0,1,-5.25,-0.53,-135.90000000000003,-4.78,-131.12000000000003
SPY,1999-08-11,1999-08-23,129.6875,136.52,1,-6.84,-0.68,-142.74000000000004,-4.78,-137.96000000000004
SPY,1999-10-18,1999-10-28,124.9375,131.95,1,-7.01,-0.7,-149.75000000000003,-4.78,-144.97000000000003
SPY,1999-09-30,1999-10-28,127.4375,134.34,1,-6.9,-0.69,-156.65000000000003,-4.78,-151.87000000000003
SPY,1999-09-24,1999-10-28,127.75,134.62,1,-6.87,-0.69,-163.52000000000004,-4.78,-158.74000000000004
SPY,1999-09-27,1999-10-29,128.75,135.6,1,-6.85,-0.69,-170.37000000000003,-4.78,-165.59000000000003
SPY,2000-01-31,2000-02-04,135.8125,143.37,1,-7.56,-0.76,-177.93000000000004,-4.78,-173.15000000000003
SPY,2000-02-28,2000-03-03,133.375,141.27,1,-7.89,-0.79,-185.82000000000002,-4.78,-181.04000000000002
SPY,2000-02-22,2000-03-16,135.1875,142.9,1,-7.71,-0.77,-193.53000000000003,-4.78,-188.75000000000003
SPY,2000-02-23,2000-03-16,135.625,143.35,1,-7.73,-0.77,-201.26000000000002,-4.78,-196.48000000000002
SPY,2000-02-25,2000-03-16,135.1875,143.02,1,-7.83,-0.78,-209.09000000000003,-4.78,-204.31000000000003
SPY,2000-10-13,2000-10-20,132.9375,140.24,1,-7.3,-0.73,-216.39000000000004,-4.78,-211.61000000000004
SPY,2000-12-21,2001-01-03,126.0,134.76,1,-8.76,-0.88,-225.15000000000003,-4.78,-220.37000000000003
SPY,2000-12-20,2001-01-30,128.625,137.32,1,-8.69,-0.87,-233.84000000000003,-4.78,-229.06000000000003
SPY,2001-04-04,2001-04-17,110.57,119.29,1,-8.72,-0.87,-242.56000000000003,-4.78,-237.78000000000003
SPY,2001-03-23,2001-04-18,113.25,121.76,1,-8.51,-0.85,-251.07000000000002,-4.78,-246.29000000000002
SPY,2001-03-22,2001-04-18,112.02,120.42,1,-8.4,-0.84,-259.47,-4.78,-254.69000000000003
SPY,2001-03-19,2001-04-18,115.76,124.02,1,-8.26,-0.83,-267.73,-4.78,-262.95000000000005
SPY,2001-03-21,2001-04-18,114.18,122.55,1,-8.37,-0.84,-276.1,-4.78,-271.32000000000005
SPY,2001-03-15,2001-04-30,118.45,126.78,1,-8.33,-0.83,-284.43,-4.78,-279.65000000000003
SPY,2001-03-13,2001-05-02,119.4,127.63,1,-8.23,-0.82,-292.66,-4.78,-287.88000000000005
SPY,2001-03-12,2001-05-21,122.34,130.4,1,-8.06,-0.81,-300.72,-4.78,-295.94000000000005
SPY,2001-09-21,2001-09-25,94.28,101.4,2,-14.25,-1.42,-314.97,-4.78,-310.19000000000005
SPY,2001-09-20,2001-09-28,100.4,107.46,1,-7.06,-0.71,-322.03000000000003,-4.78,-317.25000000000006
SPY,2001-09-24,2001-09-28,99.72,107.01,2,-14.59,-1.46,-336.62,-4.78,-331.84000000000003
SPY,2001-09-19,2001-10-17,104.1,110.94,1,-6.84,-0.68,-343.46,-4.78,-338.68
SPY,2001-09-18,2001-10-26,104.33,111.19,1,-6.86,-0.69,-350.32,-4.78,-345.54
SPY,2001-09-10,2001-11-08,107.7,114.06,1,-6.36,-0.64,-356.68,-4.78,-351.90000000000003
SPY,2001-09-07,2001-11-27,110.02,116.35,1,-6.33,-0.63,-363.01,-4.78,-358.23
SPY,2001-08-22,2002-01-07,116.75,117.7,1,-0.95,-0.1,-363.96,-4.78,-359.18
SPY,2001-08-31,2002-01-07,113.4,117.7,1,-4.3,-0.43,-368.26,-4.78,-363.48
SPY,2001-08-30,2002-01-07,114.85,117.7,1,-2.85,-0.29,-371.11,-4.78,-366.33000000000004
SPY,2001-07-25,2002-01-07,117.92,117.7,1,0.22,0.02,-370.89,-4.78,-366.11
SPY,2001-08-20,2002-01-07,116.8,117.7,1,-0.9,-0.09,-371.78999999999996,-4.78,-367.01
SPY,2001-07-09,2002-01-07,119.49,117.7,1,1.79,0.18,-369.99999999999994,-4.78,-365.21999999999997
SPY,2001-03-05,2002-01-07,124.15,117.7,1,6.45,0.65,-363.54999999999995,-4.78,-358.77
SPY,2001-03-01,2002-01-07,124.05,117.7,1,6.35,0.63,-357.19999999999993,-4.78,-352.41999999999996
SPY,2001-02-26,2002-01-07,125.8,117.7,1,8.1,0.81,-349.0999999999999,-4.78,-344.31999999999994
