symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,cumulative_pnl,cum_max,drawdown,r_multiple
ADBE,1995-03-29,1995-08-30,6.21,6.08,16,-2.05,-0.21,-2.05,-2.05,0.0,-0.20632045088566825
ADBE,1995-11-03,1996-01-05,7.54,5.93,13,-21.35,-2.14,-23.400000000000002,-2.05,-21.35,-2.1781269128749234
ADBE,1996-01-09,1996-02-01,5.05,3.83,19,-24.11,-2.41,-47.510000000000005,-2.05,-45.46000000000001,-2.512767066180302
ADBE,1996-05-03,1996-06-07,5.1,4.15,19,-18.68,-1.87,-66.19,-2.05,-64.14,-1.9277605779153768
ADBE,1996-11-19,1997-03-10,5.04,4.04,19,-19.89,-1.99,-86.08,-2.05,-84.03,-2.077067669172932
ADBE,1997-05-02,1997-06-19,5.17,4.53,19,-12.38,-1.24,-98.46,-2.05,-96.41,-1.260307441718416
ADSK,1997-08-26,1997-10-27,11.03,8.74,9,-20.72,-2.07,-119.17999999999999,-2.05,-117.13,-2.0872368288506093
ADBE,1997-08-26,1997-12-11,5.22,4.92,19,-5.75,-0.57,-124.92999999999999,-2.05,-122.88,-0.579753982657794
ADI,1998-02-27,1998-05-20,12.55,11.13,7,-11.29,-1.13,-136.22,-2.05,-134.17,-1.2851451337507114
ADBE,1998-02-26,1998-06-01,5.32,4.81,18,-9.49,-0.95,-145.71,-2.05,-143.66,-0.9910192147034252
ADI,1998-05-27,1998-08-04,9.46,7.92,10,-16.25,-1.62,-161.96,-2.05,-159.91,-1.7177589852008455
ADI,1998-12-11,1999-02-25,9.97,10.46,10,4.94,0.49,-157.02,-2.05,-154.97,0.4954864593781344
ADBE,1999-01-06,1999-03-01,6.09,4.72,16,-22.41,-2.24,-179.43,-2.05,-177.38,-2.2998768472906406
ADSK,1998-12-03,1999-04-01,10.31,9.19,9,-10.89,-1.09,-190.32,-2.05,-188.26999999999998,-1.1736178467507272
ADBE,1999-03-26,2000-01-05,6.89,14.74,14,113.9,11.39,-76.41999999999999,-2.05,-74.36999999999999,11.808003317437281
ADP,1998-10-23,2000-02-22,22.85,23.83,4,4.3,0.43,-72.11999999999999,-2.05,-70.07,0.4704595185995623
ADBE,2000-02-10,2000-03-08,21.54,19.9,4,-7.63,-0.76,-79.74999999999999,-2.05,-77.69999999999999,-0.8855617455896008
ADI,1999-02-26,2000-03-15,10.07,52.12,9,417.54,41.75,337.79,337.79,0.0,46.07083747103608
ADI,2000-03-17,2000-03-30,56.19,53.21,1,-5.31,-0.53,332.48,337.79,-5.310000000000002,-0.9450080085424453
ADSK,2000-03-07,2000-03-31,11.64,10.42,8,-10.5,-1.05,321.98,337.79,-15.810000000000002,-1.1275773195876286
