symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,risk_amount,cumulative_pnl,cum_max,drawdown,year,month,week,R_multiple
ADAP,2020-03-11,2020-03-16,2.85,2.25,24,-14.4,-1.44,19.681122568944346,320.69999999999993,350.1199999999999,-29.41999999999996,2020,2020-03,2020-03-16/2020-03-22,-0.7316655820599559
ADAP,2020-03-12,2020-03-17,2.73,2.72,25,-0.25,-0.02,19.794802408385326,320.44999999999993,350.1199999999999,-29.66999999999996,2020,2020-03,2020-03-16/2020-03-22,-0.01262957794891132
ACMR,2020-03-12,2020-03-17,7.94,8.01,7,0.47,0.05,19.62094302784984,320.91999999999996,350.1199999999999,-29.199999999999932,2020,2020-03,2020-03-16/2020-03-22,0.02395399646861443
ACMR,2020-03-13,2020-03-18,7.26,5.75,7,-10.57,-1.06,19.59539872506486,310.34999999999997,350.1199999999999,-39.769999999999925,2020,2020-03,2020-03-16/2020-03-22,-0.5394123461483693
ADAP,2020-03-17,2020-03-19,2.09,2.77,21,14.28,1.43,19.265745202798833,324.62999999999994,350.1199999999999,-25.489999999999952,2020,2020-03,2020-03-16/2020-03-22,0.7412119204153843
ACMR,2020-05-05,2020-05-07,11.09,14.73,7,25.48,2.55,17.630202834714375,350.10999999999996,350.1199999999999,-0.009999999999934062,2020,2020-05,2020-05-04/2020-05-10,1.4452471272666898
ACMR,2020-05-22,2020-05-27,16.9,19.72,3,8.46,0.85,16.17618808687966,358.56999999999994,358.56999999999994,0.0,2020,2020-05,2020-05-25/2020-05-31,0.5229909515494457
ACMR,2020-06-09,2020-06-11,17.61,18.45,4,3.36,0.34,19.604300045773186,361.92999999999995,361.92999999999995,0.0,2020,2020-06,2020-06-08/2020-06-14,0.17139096994816896
ADAP,2020-06-12,2020-06-16,8.9,10.51,6,9.66,0.97,18.765124576395767,371.59,371.59,0.0,2020,2020-06,2020-06-15/2020-06-21,0.514784751930243
ABUS,2020-07-29,2020-07-31,3.74,3.81,7,0.49,0.05,17.990290872198177,372.08,372.08,0.0,2020,2020-07,2020-07-27/2020-08-02,0.027236913704226755
ABUS,2020-07-30,2020-08-04,3.76,3.75,8,-0.08,-0.01,19.54429918283241,372.0,372.08,-0.07999999999998408,2020,2020-08,2020-08-03/2020-08-09,-0.004093265215171875
