symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,risk_amount,cumulative_pnl,cum_max,drawdown,year,month,week,R_multiple
ADMA,2022-05-10,2022-05-13,1.43,1.76,56,18.48,1.85,19.702555378541724,731.6200000000001,731.6200000000001,0.0,2022,2022-05,2022-05-09/2022-05-15,0.9379494002146939
ADMA,2022-05-11,2022-05-13,1.5,1.76,58,15.08,1.51,19.96059626356924,746.7000000000002,746.7000000000002,0.0,2022,2022-05,2022-05-09/2022-05-15,0.7554884533947024
ABCL,2022-08-23,2022-08-25,10.24,12.18,8,15.52,1.55,18.72639570108899,762.2200000000001,762.2200000000001,0.0,2022,2022-08,2022-08-22/2022-08-28,0.8287766769286772
ADTN,2022-09-07,2022-09-09,18.81,19.95,5,5.72,0.57,12.841050086227774,767.9400000000002,767.9400000000002,0.0,2022,2022-09,2022-09-05/2022-09-11,0.44544643635763004
AAOI,2022-09-23,2022-09-29,2.8,2.66,21,-2.94,-0.29,19.45584124681115,765.0000000000001,767.9400000000002,-2.9400000000000546,2022,2022-09,2022-09-26/2022-10-02,-0.15111143037733574
AAOI,2022-09-27,2022-09-29,2.58,2.66,23,1.84,0.18,19.73836059181389,766.8400000000001,767.9400000000002,-1.1000000000000227,2022,2022-09,2022-09-26/2022-10-02,0.09321949467085454
ABOS,2022-10-13,2022-10-17,7.53,7.97,8,3.52,0.35,19.50908807574725,770.3600000000001,770.3600000000001,0.0,2022,2022-10,2022-10-17/2022-10-23,0.1804287307706552
ABOS,2022-10-14,2022-10-18,7.57,8.04,8,3.76,0.38,18.478179268172525,774.1200000000001,774.1200000000001,0.0,2022,2022-10,2022-10-17/2022-10-23,0.20348325153855162
ABCL,2022-12-07,2022-12-09,10.7,10.47,9,-2.07,-0.21,18.099382326774776,772.0500000000001,774.1200000000001,-2.07000000000005,2022,2022-12,2022-12-05/2022-12-11,-0.11436854377830384
AAOI,2023-07-19,2023-07-21,7.13,7.91,6,4.68,0.47,19.38101823921735,776.73,776.73,0.0,2023,2023-07,2023-07-17/2023-07-23,0.2414733809253661
ABOS,2023-07-21,2023-07-27,6.8,7.21,7,2.87,0.29,19.532217722309298,779.6,779.6,0.0,2023,2023-07,2023-07-24/2023-07-30,0.14693671967018598
AAOI,2023-07-28,2023-08-01,5.76,7.03,6,7.62,0.76,18.666338307661118,787.22,787.22,0.0,2023,2023-08,2023-07-31/2023-08-06,0.4082214665997223
AAOI,2023-08-01,2023-08-03,6.28,6.59,6,1.86,0.19,17.525584029205504,789.08,789.08,0.0,2023,2023-08,2023-07-31/2023-08-06,0.10613055729842746
AAOI,2023-08-18,2023-08-22,12.02,15.48,4,13.84,1.38,18.21176509640582,802.9200000000001,802.9200000000001,0.0,2023,2023-08,2023-08-21/2023-08-27,0.7599483041175065
AAOI,2023-08-29,2023-08-31,12.06,13.77,4,6.84,0.68,17.582611879139105,809.7600000000001,809.7600000000001,0.0,2023,2023-08,2023-08-28/2023-09-03,0.3890207010777119
AAOI,2023-09-06,2023-09-11,12.04,11.65,4,-1.56,-0.16,16.411607288512855,808.2000000000002,809.7600000000001,-1.5599999999999454,2023,2023-09,2023-09-11/2023-09-17,-0.09505467518052951
AAOI,2023-09-14,2023-09-18,8.48,9.88,5,7.0,0.7,19.008143361268203,815.2000000000002,815.2000000000002,0.0,2023,2023-09,2023-09-18/2023-09-24,0.3682632157680111
AAOI,2023-09-15,2023-09-19,9.07,9.64,5,2.85,0.29,18.357329025141382,818.0500000000002,818.0500000000002,0.0,2023,2023-09,2023-09-18/2023-09-24,0.15525134381460215
ACB,2023-09-21,2023-09-26,7.44,7.03,6,-2.45,-0.24,19.233841962589608,815.6000000000001,818.0500000000002,-2.4500000000000455,2023,2023-09,2023-09-25/2023-10-01,-0.12737964701827761
ACB,2023-09-22,2023-09-26,6.87,7.03,6,0.97,0.1,18.81045776633065,816.5700000000002,818.0500000000002,-1.4800000000000182,2023,2023-09,2023-09-25/2023-10-01,0.051567059773326165
AAOI,2023-10-05,2023-10-09,8.29,7.58,7,-4.93,-0.49,18.138983965900803,811.6400000000002,818.0500000000002,-6.409999999999968,2023,2023-10,2023-10-09/2023-10-15,-0.2717903058554895
AAOI,2023-10-06,2023-10-11,8.48,7.79,7,-4.83,-0.48,17.550085569310724,806.8100000000002,818.0500000000002,-11.240000000000009,2023,2023-10,2023-10-09/2023-10-15,-0.2752123333487369
AAOI,2023-10-10,2023-10-12,7.05,7.95,7,6.3,0.63,18.25290681114169,813.1100000000001,818.0500000000002,-4.940000000000055,2023,2023-10,2023-10-09/2023-10-15,0.3451505048036755
AAOI,2023-10-11,2023-10-13,6.94,7.55,8,4.88,0.49,19.904418434317165,817.9900000000001,818.0500000000002,-0.06000000000005912,2023,2023-10,2023-10-09/2023-10-15,0.24517169472213277
AAOI,2023-10-12,2023-10-16,7.24,7.65,8,3.28,0.33,18.93397659088545,821.2700000000001,821.2700000000001,0.0,2023,2023-10,2023-10-16/2023-10-22,0.17323355103221927
ACMR,2023-11-01,2023-11-03,12.65,15.1,5,12.23,1.22,19.01876481461403,833.5000000000001,833.5000000000001,0.0,2023,2023-11,2023-10-30/2023-11-05,0.6430491211817532
AAOI,2024-01-03,2024-01-05,17.38,20.15,3,8.31,0.83,15.748992500592994,841.8100000000001,841.8100000000001,0.0,2024,2024-01,2024-01-01/2024-01-07,0.5276528006275389
AAOI,2024-01-04,2024-01-08,16.24,20.18,3,11.82,1.18,15.111593250533698,853.6300000000001,853.6300000000001,0.0,2024,2024-01,2024-01-08/2024-01-14,0.7821809258651501
ACMR,2024-01-05,2024-01-09,15.81,19.42,6,21.66,2.17,13.781627673832698,875.2900000000001,875.2900000000001,0.0,2024,2024-01,2024-01-08/2024-01-14,1.5716576091462722
AAOI,2024-01-17,2024-01-23,16.08,18.13,3,6.15,0.62,15.77437366113707,881.44,881.44,0.0,2024,2024-01,2024-01-22/2024-01-28,0.38987284897096114
ACET,2024-02-14,2024-02-16,2.58,2.94,22,7.92,0.79,19.14134097741267,889.36,889.36,0.0,2024,2024-02,2024-02-12/2024-02-18,0.4137641145072242
AAOI,2024-02-22,2024-02-27,17.85,15.42,3,-7.29,-0.73,15.758184347200912,882.07,889.36,-7.289999999999964,2024,2024-02,2024-02-26/2024-03-03,-0.4626167481848824
ACET,2024-02-23,2024-02-27,2.27,2.39,27,3.24,0.32,19.914786243871976,885.3100000000001,889.36,-4.0499999999999545,2024,2024-02,2024-02-26/2024-03-03,0.16269318486895573
AAOI,2024-02-28,2024-03-01,14.34,15.41,3,3.21,0.32,18.232418900198518,888.5200000000001,889.36,-0.8399999999999181,2024,2024-03,2024-02-26/2024-03-03,0.1760600180135752
AAOI,2024-02-27,2024-03-01,13.7,15.41,3,5.13,0.51,19.149909889109466,893.6500000000001,893.6500000000001,0.0,2024,2024-03,2024-02-26/2024-03-03,0.2678863780407356
ADAP,2024-03-13,2024-03-15,1.39,1.48,40,3.6,0.36,19.875751764760203,897.2500000000001,897.2500000000001,0.0,2024,2024-03,2024-03-11/2024-03-17,0.18112522447492105
ACET,2024-03-15,2024-03-20,1.91,2.14,43,9.89,0.99,19.888641642572637,907.1400000000001,907.1400000000001,0.0,2024,2024-03,2024-03-18/2024-03-24,0.4972687515687325
ACET,2024-03-19,2024-03-21,1.81,2.04,44,10.12,1.01,19.652446235843925,917.2600000000001,917.2600000000001,0.0,2024,2024-03,2024-03-18/2024-03-24,0.5149486165005871
ADAP,2024-04-04,2024-04-08,1.28,1.36,54,4.32,0.43,19.94827128784252,921.5800000000002,921.5800000000002,0.0,2024,2024-04,2024-04-08/2024-04-14,0.21656011880251627
ADAP,2024-04-16,2024-04-19,0.98,0.98,62,-0.2,-0.02,19.788202789578555,921.3800000000001,921.5800000000002,-0.20000000000004547,2024,2024-04,2024-04-15/2024-04-21,-0.010107032059795237
ADIL,2024-04-17,2024-04-19,2.08,1.93,17,-2.54,-0.25,19.63640197037771,918.8400000000001,921.5800000000002,-2.740000000000009,2024,2024-04,2024-04-15/2024-04-21,-0.12935159933228554
ACB,2024-04-17,2024-04-19,5.49,6.46,8,7.72,0.77,19.31396665950171,926.5600000000002,926.5600000000002,0.0,2024,2024-04,2024-04-15/2024-04-21,0.3997107448770532
ADAP,2024-04-17,2024-04-23,0.96,1.14,65,11.7,1.17,19.969501825650738,938.2600000000002,938.2600000000002,0.0,2024,2024-04,2024-04-22/2024-04-28,0.5858934340050186
ADIL,2024-04-19,2024-04-24,2.02,1.71,17,-5.27,-0.53,19.662485596005943,932.9900000000002,938.2600000000002,-5.269999999999982,2024,2024-04,2024-04-22/2024-04-28,-0.26802308254814433
ABSI,2024-04-23,2024-04-25,4.19,4.46,18,4.77,0.48,19.50400119088041,937.7600000000002,938.2600000000002,-0.5,2024,2024-04,2024-04-22/2024-04-28,0.24456520245857727
ABVC,2024-05-01,2024-05-06,1.16,1.08,49,-3.92,-0.39,19.995186583852252,933.8400000000003,938.2600000000002,-4.419999999999959,2024,2024-05,2024-05-06/2024-05-12,-0.19604718283377862
ACB,2024-05-24,2024-05-29,6.0,6.17,11,1.87,0.19,18.435008021780188,935.7100000000003,938.2600000000002,-2.5499999999999545,2024,2024-05,2024-05-27/2024-06-02,0.10143743890920327
ADPT,2024-09-25,2024-09-27,3.88,5.0,25,28.0,2.8,18.4715780751294,963.7100000000003,963.7100000000003,0.0,2024,2024-09,2024-09-23/2024-09-29,1.5158423328053334
ADPT,2024-09-26,2024-09-30,3.72,5.12,26,36.4,3.64,18.517897078321116,1000.1100000000002,1000.1100000000002,0.0,2024,2024-09,2024-09-30/2024-10-06,1.9656659633675921
ADMA,2024-10-11,2024-10-16,15.82,16.44,6,3.72,0.37,17.780323883007142,1003.8300000000003,1003.8300000000003,0.0,2024,2024-10,2024-10-14/2024-10-20,0.20922003583721252
ADMA,2024-10-15,2024-10-17,15.22,16.12,6,5.4,0.54,17.430562345235792,1009.2300000000002,1009.2300000000002,0.0,2024,2024-10,2024-10-14/2024-10-20,0.3098006761368749
ADPT,2024-11-15,2024-11-20,5.19,4.42,18,-13.86,-1.39,19.412916849383272,995.3700000000002,1009.2300000000002,-13.860000000000014,2024,2024-11,2024-11-18/2024-11-24,-0.7139576245823315
ADN,2024-11-19,2024-11-21,5.81,7.61,6,10.8,1.08,17.792844535021427,1006.1700000000002,1009.2300000000002,-3.060000000000059,2024,2024-11,2024-11-18/2024-11-24,0.6069855766312408
ADPT,2024-11-20,2024-11-22,4.17,4.69,18,9.36,0.94,19.9011263832004,1015.5300000000002,1015.5300000000002,0.0,2024,2024-11,2024-11-18/2024-11-24,0.4703251373701779
ADN,2024-11-20,2024-11-22,5.79,7.3,7,10.57,1.06,19.597911761772494,1026.1000000000001,1026.1000000000001,0.0,2024,2024-11,2024-11-18/2024-11-24,0.5393431774000403
ADPT,2024-11-19,2024-11-25,4.35,5.58,17,20.91,2.09,19.467231389778203,1047.0100000000002,1047.0100000000002,0.0,2024,2024-11,2024-11-25/2024-12-01,1.074112675877442
ADPT,2024-11-21,2024-11-25,4.11,5.58,18,26.46,2.65,18.96851374488036,1073.4700000000003,1073.4700000000003,0.0,2024,2024-11,2024-11-25/2024-12-01,1.3949432388787764
ACRS,2024-11-27,2024-12-02,3.38,3.96,14,8.12,0.81,19.52883158514946,1081.5900000000001,1081.5900000000001,0.0,2024,2024-12,2024-12-02/2024-12-08,0.4157954849779536
ADN,2024-11-27,2024-12-03,4.73,4.83,6,0.6,0.06,18.919421821036323,1082.19,1082.19,0.0,2024,2024-12,2024-12-02/2024-12-08,0.03171344270853276
AAOI,2024-12-06,2024-12-10,32.07,33.09,1,1.02,0.1,10.607852406147696,1083.21,1083.21,0.0,2024,2024-12,2024-12-09/2024-12-15,0.09615518400396174
AAOI,2024-12-12,2024-12-16,31.32,35.09,1,3.77,0.38,10.954774738673503,1086.98,1086.98,0.0,2024,2024-12,2024-12-16/2024-12-22,0.34414217452512436
AAOI,2024-12-10,2024-12-16,33.63,35.09,1,1.46,0.15,11.243687948979634,1088.44,1088.44,0.0,2024,2024-12,2024-12-16/2024-12-22,0.1298506332286192
ACRS,2024-12-13,2024-12-18,3.04,3.08,20,0.8,0.08,19.140979361343533,1089.24,1089.24,0.0,2024,2024-12,2024-12-16/2024-12-22,0.041795144589918565
ACRS,2024-12-17,2024-12-19,2.81,2.77,22,-0.88,-0.09,19.620362610957088,1088.36,1089.24,-0.8800000000001091,2024,2024-12,2024-12-16/2024-12-22,-0.04485136271174518
ADN,2024-12-18,2024-12-23,5.28,4.39,11,-9.79,-0.98,19.829619153005186,1078.57,1089.24,-10.670000000000073,2024,2024-12,2024-12-23/2024-12-29,-0.493705901483051
ADN,2024-12-19,2024-12-26,4.65,5.05,10,4.0,0.4,18.19923385245879,1082.57,1089.24,-6.670000000000073,2024,2024-12,2024-12-23/2024-12-29,0.21978947204195542
ADN,2024-12-20,2024-12-26,4.29,5.05,11,8.36,0.84,19.750566513934203,1090.9299999999998,1090.9299999999998,0.0,2024,2024-12,2024-12-23/2024-12-29,0.42327899779998435
ACRS,2024-12-31,2025-01-03,2.31,2.6,26,7.54,0.75,19.723546084082233,1098.4699999999998,1098.4699999999998,0.0,2025,2025-01,2024-12-30/2025-01-05,0.38228419817900344
ABAT,2025-01-03,2025-01-07,1.98,2.21,15,3.45,0.34,19.463914750397244,1101.9199999999998,1101.9199999999998,0.0,2025,2025-01,2025-01-06/2025-01-12,0.17725108459641134
ABAT,2025-01-14,2025-01-16,1.72,2.02,15,4.5,0.45,18.855680606365862,1106.4199999999998,1106.4199999999998,0.0,2025,2025-01,2025-01-13/2025-01-19,0.23865486979455708
ABAT,2025-01-15,2025-01-17,1.69,2.0,16,4.96,0.5,19.18145338211123,1111.3799999999999,1111.3799999999999,0.0,2025,2025-01,2025-01-13/2025-01-19,0.25858311678434825
AAOI,2025-01-15,2025-01-17,25.84,31.03,2,10.38,1.04,17.374305991847706,1121.76,1121.76,0.0,2025,2025-01,2025-01-13/2025-01-19,0.597433935195481
ABAT,2025-01-23,2025-01-28,1.64,1.42,20,-4.4,-0.44,19.118854359503576,1117.36,1121.76,-4.400000000000091,2025,2025-01,2025-01-27/2025-02-02,-0.2301393126002267
ABAT,2025-01-24,2025-01-29,1.37,1.38,21,0.21,0.02,19.58981736973088,1117.57,1121.76,-4.190000000000055,2025,2025-01,2025-01-27/2025-02-02,0.010719854914241343
AAOI,2025-01-28,2025-01-30,22.82,28.07,2,10.5,1.05,17.932252122496962,1128.07,1128.07,0.0,2025,2025-01,2025-01-27/2025-02-02,0.5855371611035511
ABAT,2025-01-28,2025-01-30,1.23,1.38,23,3.45,0.34,19.465641552289824,1131.52,1131.52,0.0,2025,2025-01,2025-01-27/2025-02-02,0.17723536060871123
AAOI,2025-01-29,2025-01-31,24.8,27.92,2,6.24,0.62,17.849026910247265,1137.76,1137.76,0.0,2025,2025-01,2025-01-27/2025-02-02,0.34959889025757296
AAOI,2025-01-30,2025-02-03,24.67,25.83,2,2.32,0.23,16.819124219222537,1140.08,1140.08,0.0,2025,2025-02,2025-02-03/2025-02-09,0.13793821662536254
AAOI,2025-02-13,2025-02-18,23.28,26.43,2,6.3,0.63,15.424053048021648,1146.3799999999999,1146.3799999999999,0.0,2025,2025-02,2025-02-17/2025-02-23,0.4084529520473909
ACB,2025-02-20,2025-02-24,5.38,5.61,16,3.68,0.37,19.989840255230718,1150.06,1150.06,0.0,2025,2025-02,2025-02-24/2025-03-02,0.18409351715739994
ABCL,2025-02-25,2025-02-27,2.78,2.92,35,4.9,0.49,18.954540369881844,1154.96,1154.96,0.0,2025,2025-02,2025-02-24/2025-03-02,0.25851325879607945
ABSI,2025-02-25,2025-02-28,4.16,3.85,15,-4.65,-0.46,19.92925105114944,1150.31,1154.96,-4.650000000000091,2025,2025-02,2025-02-24/2025-03-02,-0.23332537625551197
ABSI,2025-02-26,2025-02-28,3.74,3.85,14,1.54,0.15,19.173070882965526,1151.85,1154.96,-3.1100000000001273,2025,2025-02,2025-02-24/2025-03-02,0.08032098819225802
AAOI,2025-02-26,2025-02-28,21.71,21.86,2,0.3,0.03,17.881545332173875,1152.1499999999999,1154.96,-2.810000000000173,2025,2025-02,2025-02-24/2025-03-02,0.0167770734814634
ACMR,2025-02-26,2025-02-28,21.33,25.94,4,18.44,1.84,14.694836126724013,1170.59,1170.59,0.0,2025,2025-02,2025-02-24/2025-03-02,1.2548625817245445
ABSI,2025-02-27,2025-03-04,3.92,3.27,15,-9.75,-0.97,19.969568351431043,1160.84,1170.59,-9.75,2025,2025-03,2025-03-03/2025-03-09,-0.48824290182022406
ADTN,2025-03-11,2025-03-13,7.9,8.67,10,7.7,0.77,18.746579307643188,1168.54,1170.59,-2.0499999999999545,2025,2025-03,2025-03-10/2025-03-16,0.4107416011016274
ADPT,2025-03-11,2025-03-13,6.2,7.17,10,9.7,0.97,18.643982829079036,1178.24,1178.24,0.0,2025,2025-03,2025-03-10/2025-03-16,0.520275098348133
ACMR,2025-04-01,2025-04-03,21.71,22.35,4,2.56,0.26,16.652927890041866,1180.8,1180.8,0.0,2025,2025-04,2025-03-31/2025-04-06,0.15372672102488544
ABEO,2025-05-07,2025-05-13,5.35,5.63,14,3.92,0.39,19.755200168398908,1184.72,1184.72,0.0,2025,2025-05,2025-05-12/2025-05-18,0.19842876643034807
ADMA,2025-05-13,2025-05-16,19.02,19.69,4,2.68,0.27,16.315417478538684,1187.4,1187.4,0.0,2025,2025-05,2025-05-12/2025-05-18,0.16426180963651557
