symbol,signal,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,cumulative_pnl,cum_max,drawdown,r_multiple
ADSK,buy,1993-06-25,1993-07-12,53.75,45.76,1,-14.86,-1.49,-14.86,-14.86,0.0,-2.7646511627906976
ADBE,buy,1993-06-25,1993-07-29,64.42,49.8,1,-22.7,-2.27,-37.56,-14.86,-22.700000000000003,-3.5237503880782364
ADSK,buy,1993-07-13,1993-11-05,48.25,38.58,2,-20.05,-2.0,-57.61,-14.86,-42.75,-2.077720207253886
ADBE,buy,1993-10-29,1994-03-28,20.98,25.55,4,21.76,2.18,-35.849999999999994,-14.86,-20.989999999999995,2.5929456625357483
AAPL,buy,1993-11-02,1994-04-19,31.25,28.88,3,-7.58,-0.76,-43.42999999999999,-14.86,-28.569999999999993,-0.8085333333333333
ADSK,buy,1993-12-28,1994-10-31,45.25,37.32,2,-17.52,-1.75,-60.94999999999999,-14.86,-46.08999999999999,-1.9359116022099445
ADBE,buy,1994-06-07,1994-12-27,27.89,28.51,3,2.21,0.22,-58.73999999999999,-14.86,-43.87999999999999,0.26413290307159076
AAPL,buy,1994-08-02,1995-03-14,33.5,36.04,2,7.6,0.76,-51.139999999999986,-14.86,-36.27999999999999,1.1343283582089552
ADBE,buy,1995-02-22,1995-08-30,35.29,49.24,2,39.51,3.95,-11.629999999999988,-11.629999999999988,0.0,5.5979030886936805
AAPL,buy,1995-05-09,1995-09-15,40.62,37.59,2,-7.46,-0.75,-19.08999999999999,-11.629999999999988,-7.460000000000001,-0.9182668636139832
ADSK,buy,1994-11-01,1995-10-04,34.25,39.75,2,16.06,1.61,-3.0299999999999905,-3.0299999999999905,0.0,2.3445255474452553
AAPL,buy,1995-11-21,1995-12-21,38.75,31.64,2,-18.34,-1.83,-21.36999999999999,-3.0299999999999905,-18.34,-2.3664516129032256
ADP,buy,1993-08-25,1996-01-02,48.88,45.48,2,-6.96,-0.7,-28.32999999999999,-3.0299999999999905,-25.3,-0.7119476268412439
ADBE,buy,1995-11-03,1996-01-05,60.96,48.26,1,-20.83,-2.08,-49.15999999999999,-3.0299999999999905,-46.129999999999995,-3.4169947506561678
ADSK,buy,1995-12-14,1996-01-10,38.5,30.08,2,-21.87,-2.19,-71.02999999999999,-3.0299999999999905,-68.0,-2.8402597402597403
ADBE,buy,1996-01-09,1996-02-01,40.85,30.91,2,-24.32,-2.43,-95.35,-3.0299999999999905,-92.32000000000001,-2.9767441860465116
AAPL,buy,1995-12-22,1996-03-01,32.63,26.63,3,-18.38,-1.84,-113.72999999999999,-3.0299999999999905,-110.7,-1.877617734191439
ADBE,buy,1996-04-26,1996-06-07,42.45,34.01,2,-19.88,-1.99,-133.60999999999999,-3.0299999999999905,-130.57999999999998,-2.3415783274440516
ADSK,buy,1996-02-27,1996-06-14,37.0,33.19,2,-10.3,-1.03,-143.91,-3.0299999999999905,-140.88,-1.3918918918918919
AAPL,buy,1996-05-14,1996-06-18,27.75,22.84,3,-17.71,-1.77,-161.62,-3.0299999999999905,-158.59,-2.1273273273273277
ACIW,buy,1996-06-27,1996-07-02,62.0,52.65,1,-15.08,-1.51,-176.70000000000002,-3.0299999999999905,-173.67000000000002,-2.432258064516129
AAPL,buy,1996-06-19,1996-07-11,23.13,18.49,4,-20.04,-2.0,-196.74,-3.0299999999999905,-193.71,-2.1660181582360574
ACIW,buy,1996-07-03,1996-07-15,37.5,28.59,2,-23.75,-2.38,-220.49,-3.0299999999999905,-217.46,-3.1666666666666665
AAPL,buy,1996-08-20,1996-12-31,23.88,20.82,4,-12.83,-1.28,-233.32000000000002,-3.0299999999999905,-230.29000000000002,-1.343174204355109
ADBE,buy,1996-06-11,1997-03-10,36.53,32.67,2,-10.56,-1.06,-243.88000000000002,-3.0299999999999905,-240.85000000000002,-1.4453873528606624
ADBE,buy,1997-04-23,1997-06-19,39.24,36.28,2,-7.55,-0.75,-251.43000000000004,-3.0299999999999905,-248.40000000000003,-0.9620285423037715
