symbol,signal,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,cumulative_pnl,cum_max,drawdown,r_multiple
AAPL,buy,1997-03-25,1997-06-26,16.62,14.91,6,-10.29,-1.03,-261.72,-3.0299999999999905,-258.69000000000005,-1.0318892900120336
AAPL,buy,1997-08-07,1997-08-12,28.75,23.3,3,-18.96,-1.9,-280.68,-3.0299999999999905,-277.65000000000003,-2.1982608695652175
AAPL,buy,1997-08-13,1997-10-20,22.25,18.84,4,-15.34,-1.53,-296.02,-3.0299999999999905,-292.99,-1.7235955056179775
ADSK,buy,1996-09-20,1997-10-27,25.25,38.34,3,51.86,5.19,-244.15999999999997,-3.0299999999999905,-241.12999999999997,6.846204620462046
ADTN,buy,1997-08-26,1997-10-28,40.88,34.12,2,-16.51,-1.65,-260.66999999999996,-3.0299999999999905,-257.64,-2.019324853228963
ADBE,buy,1997-06-20,1997-12-11,35.97,39.73,2,10.45,1.04,-250.21999999999997,-3.0299999999999905,-247.18999999999997,1.4525993883792048
ADBE,buy,1998-02-04,1998-06-01,38.0,38.91,2,2.39,0.24,-247.82999999999998,-3.0299999999999905,-244.79999999999998,0.3144736842105263
ADSK,buy,1997-11-04,1998-06-24,38.0,37.55,2,-1.19,-0.12,-249.01999999999998,-3.0299999999999905,-245.98999999999998,-0.15657894736842104
AAPL,buy,1998-01-27,1998-08-31,19.19,32.81,5,71.02,7.1,-178.0,-3.0299999999999905,-174.97,7.401771756122979
ADSK,buy,1998-10-30,1998-11-18,32.0,28.59,3,-10.64,-1.06,-188.64,-3.0299999999999905,-185.60999999999999,-1.1083333333333334
ADP,buy,1996-01-03,1999-01-04,36.87,63.23,2,71.48,7.15,-117.15999999999998,-3.0299999999999905,-114.13,9.693517765120696
AAPL,buy,1998-11-13,1999-02-26,34.93,35.48,2,1.57,0.16,-115.58999999999999,-3.0299999999999905,-112.56,0.22473518465502432
ADBE,buy,1998-10-23,1999-03-01,36.25,38.25,2,5.52,0.55,-110.07,-3.0299999999999905,-107.04,0.7613793103448275
ADSK,buy,1998-11-19,1999-04-01,30.75,37.08,3,20.58,2.06,-89.49,-3.0299999999999905,-86.46000000000001,2.2308943089430895
ACIW,buy,1999-07-08,1999-07-23,39.31,32.82,2,-16.51,-1.65,-106.0,-3.0299999999999905,-102.97000000000001,-2.0999745611803613
ACIW,buy,1999-07-27,1999-09-22,31.38,24.6,3,-21.58,-2.16,-127.58,-3.0299999999999905,-124.55000000000001,-2.292330571489271
AAPL,buy,1999-04-27,1999-09-28,43.0,60.09,2,39.76,3.98,-87.82,-3.0299999999999905,-84.79,4.623255813953488
ADSK,buy,1999-07-13,1999-10-01,28.06,21.2,3,-24.46,-2.45,-112.28,-3.0299999999999905,-109.25000000000001,-2.9056783083867908
ADBE,buy,1999-03-26,1999-10-27,55.5,98.44,1,77.36,7.74,-34.92,-3.0299999999999905,-31.89000000000001,13.938738738738738
ACIW,buy,1999-11-09,1999-12-15,34.5,24.04,2,-30.33,-3.03,-65.25,-3.0299999999999905,-62.22000000000001,-4.395652173913043
ADBE,buy,1999-10-29,2000-01-05,68.5,59.25,1,-13.5,-1.35,-78.75,-3.0299999999999905,-75.72000000000001,-1.970802919708029
AAPL,buy,1999-10-12,2000-01-12,67.87,88.5,1,30.4,3.04,-48.35,-3.0299999999999905,-45.32000000000001,4.479151318697509
ACIW,buy,1999-12-16,2000-01-26,27.38,22.41,3,-18.15,-1.82,-66.5,-3.0299999999999905,-63.47000000000001,-2.209642074506939
ADP,buy,1999-03-17,2000-02-22,39.5,41.11,2,4.07,0.41,-62.43,-3.0299999999999905,-59.400000000000006,0.5151898734177215
ADBE,buy,2000-02-10,2000-03-08,86.56,79.97,1,-7.62,-0.76,-70.05,-3.0299999999999905,-67.02000000000001,-0.8803142329020333
ACIW,buy,2000-03-07,2000-03-15,40.75,30.56,2,-25.0,-2.5,-95.05,-3.0299999999999905,-92.02000000000001,-3.067484662576687
ADTN,buy,2000-02-01,2000-03-27,65.0,60.38,1,-7.12,-0.71,-102.17,-3.0299999999999905,-99.14000000000001,-1.0953846153846154
ADSK,buy,1999-11-30,2000-03-31,28.5,42.05,3,47.53,4.75,-54.64,-3.0299999999999905,-51.610000000000014,5.5590643274853795
ACIW,buy,2000-03-17,2000-04-10,31.78,25.55,3,-19.62,-1.96,-74.26,-3.0299999999999905,-71.23000000000002,-2.0578980490874765
AAPL,buy,2000-01-13,2000-04-12,94.48,112.78,1,19.36,1.94,-54.900000000000006,-3.0299999999999905,-51.87000000000002,2.0491109229466553
ADSK,buy,2000-04-04,2000-04-17,44.12,35.72,2,-19.05,-1.91,-73.95,-3.0299999999999905,-70.92000000000002,-2.1588848594741616
ACIW,buy,2000-04-11,2000-04-26,25.41,20.34,3,-19.93,-1.99,-93.88,-3.0299999999999905,-90.85000000000001,-2.614456250819887
AAPL,buy,2000-04-13,2000-05-19,111.5,97.68,0,-12.39,-1.24,-106.27,-3.0299999999999905,-103.24000000000001,-inf
ADSK,buy,2000-04-19,2000-07-11,38.97,31.5,2,-19.17,-1.92,-125.44,-3.0299999999999905,-122.41000000000001,-2.4595842956120095
ADBE,buy,2000-03-10,2000-07-28,79.5,107.48,1,35.2,3.52,-90.24,-3.0299999999999905,-87.21000000000001,4.427672955974843
ADTN,buy,2000-07-27,2000-09-13,65.19,48.89,1,-25.0,-2.5,-115.24,-3.0299999999999905,-112.21000000000001,-3.8349440098174568
AAPL,buy,2000-09-08,2000-09-29,61.62,45.81,1,-25.67,-2.57,-140.91,-3.0299999999999905,-137.88,-4.16585524180461
ADSK,buy,2000-09-12,2000-10-09,28.5,22.52,3,-20.99,-2.1,-161.9,-3.0299999999999905,-158.87,-2.454970760233918
ADBE,buy,2000-08-08,2000-10-17,121.62,127.64,0,4.95,0.49,-156.95000000000002,-3.0299999999999905,-153.92000000000002,inf
ADP,buy,2000-03-31,2001-03-15,47.44,51.98,2,9.59,0.96,-147.36,-3.0299999999999905,-144.33,1.0107504215851602
ADSK,buy,2001-01-31,2001-03-19,37.19,30.28,2,-18.57,-1.86,-165.93,-3.0299999999999905,-162.9,-2.4966388814197367
AAPL,buy,2001-01-31,2001-05-30,21.5,20.34,4,-5.39,-0.54,-171.32,-3.0299999999999905,-168.29,-0.6267441860465116
AAPL,buy,2001-06-01,2001-07-24,20.13,18.92,4,-6.04,-0.6,-177.35999999999999,-3.0299999999999905,-174.32999999999998,-0.7501241927471436
ADP,buy,2001-05-22,2001-08-02,56.75,48.33,1,-14.84,-1.48,-192.2,-3.0299999999999905,-189.17,-2.614977973568282
ADBE,buy,2001-05-02,2001-08-07,44.25,36.1,2,-18.42,-1.84,-210.62,-3.0299999999999905,-207.59,-2.0813559322033903
AAPL,buy,2001-08-02,2001-09-21,19.65,14.93,5,-24.04,-2.4,-234.66,-3.0299999999999905,-231.63,-2.446819338422392
ADSK,buy,2001-05-17,2001-09-27,37.54,29.29,2,-21.99,-2.2,-256.65,-3.0299999999999905,-253.61999999999998,-2.928875865743207
ADSK,buy,2001-11-14,2002-04-19,36.25,28.49,2,-21.41,-2.14,-278.06,-3.0299999999999905,-275.03000000000003,-2.9531034482758622
ADP,buy,2001-11-14,2002-06-12,56.4,49.64,1,-11.98,-1.2,-290.04,-3.0299999999999905,-287.01000000000005,-2.124113475177305
AAPL,buy,2001-11-14,2002-06-13,19.59,19.63,5,0.19,0.02,-289.85,-3.0299999999999905,-286.82000000000005,0.01939765186319551
ADBE,buy,2001-11-14,2002-06-14,31.17,32.49,3,4.23,0.42,-285.62,-3.0299999999999905,-282.59000000000003,0.4523580365736285
ADP,buy,2002-11-05,2003-01-15,44.71,36.13,2,-19.2,-1.92,-304.82,-3.0299999999999905,-301.79,-2.147170655334377
ADTN,buy,2003-01-16,2003-01-27,40.2,32.9,2,-18.17,-1.82,-322.99,-3.0299999999999905,-319.96000000000004,-2.2599502487562186
AAPL,buy,2002-11-05,2003-04-11,16.75,13.47,5,-19.6,-1.96,-342.59000000000003,-3.0299999999999905,-339.56000000000006,-2.3402985074626868
ADTN,buy,2003-04-09,2003-08-05,37.29,46.61,2,25.0,2.5,-317.59000000000003,-3.0299999999999905,-314.56000000000006,3.352105122016627
ADTN,buy,2003-09-09,2003-12-16,68.58,56.01,1,-18.33,-1.83,-335.92,-3.0299999999999905,-332.89000000000004,-2.6727909011373576
ADBE,buy,2002-11-05,2004-03-11,25.99,34.79,3,33.84,3.38,-302.08000000000004,-3.0299999999999905,-299.05000000000007,4.34013081954598
ADSK,buy,2002-11-26,2004-12-21,14.69,54.36,6,270.04,27.0,-32.04000000000002,-3.0299999999999905,-29.01000000000003,30.637621965055594
ADSK,buy,2004-12-22,2005-01-24,38.45,29.24,2,-23.97,-2.4,-56.01000000000002,-3.0299999999999905,-52.98000000000003,-3.1170351105331595
AAPL,buy,2003-05-13,2005-02-28,18.43,68.16,5,269.85,26.98,213.84,213.84,0.0,29.283776451437877
ADEA,buy,2004-10-07,2005-04-22,42.36,56.97,2,34.48,3.45,248.32,248.32,0.0,4.069877242681774
AAPL,buy,2005-03-01,2005-05-11,44.99,33.74,2,-25.0,-2.5,223.32,248.32,-25.0,-2.778395198933096
ADBE,buy,2004-04-07,2005-05-24,41.06,35.65,2,-13.17,-1.32,210.15,248.32,-38.16999999999999,-1.6037506088650755
ADEA,buy,2005-06-24,2005-09-27,57.4,46.42,1,-19.12,-1.91,191.03,248.32,-57.28999999999999,-3.3310104529616726
ADSK,buy,2005-05-19,2006-02-03,36.39,36.2,2,-0.52,-0.05,190.51,248.32,-57.81,-0.07144820005496016
AAPL,buy,2005-06-17,2006-02-09,38.47,64.8,2,68.45,6.84,258.96,258.96,0.0,8.89654276059267
ADBE,buy,2005-10-04,2006-05-18,29.81,30.64,3,2.78,0.28,261.73999999999995,261.73999999999995,0.0,0.3108576540310858
ADEA,buy,2006-01-24,2006-06-07,50.88,43.86,1,-13.8,-1.38,247.93999999999994,261.73999999999995,-13.800000000000011,-2.7122641509433962
ADSK,buy,2006-04-04,2006-06-27,37.38,32.92,2,-11.94,-1.19,235.99999999999994,261.73999999999995,-25.74000000000001,-1.5971107544141252
AAPL,buy,2006-02-10,2006-07-07,65.18,55.35,1,-15.08,-1.51,220.91999999999993,261.73999999999995,-40.82000000000002,-2.3135931267259893
AAL,buy,2006-04-18,2006-08-08,37.1,42.31,2,14.04,1.4,234.95999999999992,261.73999999999995,-26.78000000000003,1.8921832884097034
AAL,buy,2006-10-03,2007-03-13,46.6,47.45,2,1.83,0.18,236.78999999999994,261.73999999999995,-24.950000000000017,0.1963519313304721
ADEA,buy,2006-08-03,2007-08-03,54.9,57.16,1,4.1,0.41,240.88999999999993,261.73999999999995,-20.850000000000023,0.7468123861566484
ACIW,buy,2007-05-02,2007-08-10,31.54,27.72,3,-12.11,-1.21,228.77999999999992,261.73999999999995,-32.960000000000036,-1.279856267173959
AAL,buy,2007-07-25,2007-08-15,35.26,28.04,2,-20.48,-2.05,208.29999999999993,261.73999999999995,-53.440000000000026,-2.90414066931367
AAPL,buy,2006-08-16,2007-08-16,67.1,111.69,1,66.46,6.65,274.75999999999993,274.75999999999993,0.0,9.904619970193739
ADBE,buy,2006-08-16,2008-01-17,34.0,36.35,2,6.92,0.69,281.67999999999995,281.67999999999995,0.0,1.0176470588235293
AAPL,buy,2007-09-25,2008-01-22,146.84,152.22,0,3.66,0.37,285.34,285.34,0.0,inf
ADP,buy,2003-04-25,2008-01-22,33.7,38.62,2,14.61,1.46,299.95,299.95,0.0,2.167655786350148
ADSK,buy,2006-08-29,2008-02-07,33.68,38.49,2,14.28,1.43,314.22999999999996,314.22999999999996,0.0,2.1199524940617573
ADEA,buy,2007-10-03,2008-02-26,62.62,52.04,1,-16.89,-1.69,297.34,314.22999999999996,-16.889999999999986,-2.69722133503673
ADEA,buy,2008-05-02,2008-06-27,34.96,26.43,2,-24.4,-2.44,272.94,314.22999999999996,-41.289999999999964,-3.489702517162471
AAPL,buy,2008-04-22,2008-09-15,167.4,144.18,0,-13.87,-1.39,259.07,314.22999999999996,-55.15999999999997,-inf
ADSK,buy,2008-05-01,2008-09-18,37.75,31.14,2,-17.52,-1.75,241.54999999999998,314.22999999999996,-72.67999999999998,-2.3205298013245033
ADBE,buy,2008-04-22,2008-10-03,36.73,34.83,2,-5.17,-0.52,236.38,314.22999999999996,-77.84999999999997,-0.7037843724475906
ADP,buy,2008-04-22,2008-10-06,43.41,39.49,2,-9.02,-0.9,227.35999999999999,314.22999999999996,-86.86999999999998,-1.0389311218613222
ACGL,buy,2003-04-03,2008-10-09,34.52,60.35,2,74.83,7.48,302.19,314.22999999999996,-12.039999999999964,10.838644264194668
ADSK,buy,2009-04-15,2009-07-08,18.38,17.14,5,-6.76,-0.68,295.43,314.22999999999996,-18.799999999999955,-0.735582154515778
AAL,buy,2009-09-18,2009-10-01,5.12,4.2,19,-17.97,-1.8,277.46000000000004,314.22999999999996,-36.769999999999925,-1.8472450657894732
ADEA,buy,2009-05-21,2009-10-30,33.24,39.6,3,19.15,1.91,296.61,314.22999999999996,-17.619999999999948,1.9203770557561168
ADEA,buy,2009-11-03,2010-01-07,34.24,33.32,2,-2.67,-0.27,293.94,314.22999999999996,-20.289999999999964,-0.3898948598130841
AAPL,buy,2009-04-03,2010-05-06,114.19,204.34,0,78.95,7.9,372.89,372.89,0.0,inf
ADP,buy,2009-04-17,2010-05-06,36.81,31.16,2,-15.36,-1.54,357.53,372.89,-15.360000000000014,-2.0863895680521596
AAL,buy,2009-12-23,2010-05-06,5.13,6.13,19,19.44,1.94,376.96999999999997,376.96999999999997,0.0,1.994459833795014
ADEA,buy,2010-01-08,2010-05-21,32.98,28.49,3,-13.61,-1.36,363.35999999999996,376.96999999999997,-13.610000000000014,-1.3755811602991714
ADSK,buy,2009-07-09,2010-06-08,17.0,26.38,5,55.21,5.52,418.56999999999994,418.56999999999994,0.0,6.495294117647059
ADBE,buy,2009-04-07,2010-06-29,23.61,28.65,4,21.35,2.13,439.91999999999996,439.91999999999996,0.0,2.2606946209233376
ADBE,buy,2010-09-10,2010-09-22,32.56,28.14,3,-13.57,-1.36,426.34999999999997,439.91999999999996,-13.569999999999993,-1.3892301392301392
AAL,buy,2010-08-05,2011-02-22,10.01,9.2,9,-8.14,-0.81,418.21,439.91999999999996,-21.70999999999998,-0.9035409035409036
AAXJ,buy,2011-01-27,2011-02-22,62.99,59.43,1,-5.65,-0.56,412.56,439.91999999999996,-27.359999999999957,-0.8969677726623275
ACGL,buy,2009-04-17,2011-05-12,56.78,43.57,1,-23.27,-2.33,389.29,439.91999999999996,-50.62999999999994,-4.098274040154984
AAL,buy,2011-05-17,2011-07-14,9.86,7.83,10,-20.55,-2.06,368.74,439.91999999999996,-71.17999999999995,-2.084178498985801
ADTN,buy,2010-10-14,2011-07-14,33.22,35.78,3,7.69,0.77,376.43,439.91999999999996,-63.48999999999995,0.7716235199678909
ADSK,buy,2010-08-10,2011-07-28,28.73,34.61,3,20.48,2.05,396.91,439.91999999999996,-43.009999999999934,2.376145724562014
ADBE,buy,2010-09-23,2011-08-03,26.58,26.99,3,1.55,0.16,398.46000000000004,439.91999999999996,-41.45999999999992,0.1943817406571357
AAL,buy,2012-01-27,2012-02-23,7.8,7.43,12,-4.71,-0.47,393.75000000000006,439.91999999999996,-46.1699999999999,-0.5032051282051282
ADEA,buy,2011-12-08,2012-03-06,26.48,25.26,3,-4.59,-0.46,389.1600000000001,439.91999999999996,-50.75999999999988,-0.5777945619335347
ADSK,buy,2011-10-25,2012-05-18,32.95,32.02,3,-2.83,-0.28,386.3300000000001,439.91999999999996,-53.58999999999986,-0.2862923621648963
ADTN,buy,2012-03-20,2012-07-11,31.26,25.67,3,-17.88,-1.79,368.4500000000001,439.91999999999996,-71.46999999999986,-1.9065898912348047
AAL,buy,2012-02-24,2012-07-26,7.22,10.88,13,50.73,5.07,419.1800000000001,439.91999999999996,-20.73999999999984,5.404858299595141
ADSK,buy,2012-07-27,2012-08-24,33.91,27.79,2,-18.06,-1.81,401.1200000000001,439.91999999999996,-38.79999999999984,-2.662931288705397
AAPL,buy,2010-05-11,2012-11-15,251.84,528.8,0,109.98,11.0,511.10000000000014,511.10000000000014,0.0,inf
ACAD,buy,2013-04-12,2013-10-09,12.74,22.3,7,75.02,7.5,586.1200000000001,586.1200000000001,0.0,8.412200044853105
ACAD,buy,2013-10-11,2014-03-24,22.98,24.0,4,4.44,0.44,590.5600000000002,590.5600000000002,0.0,0.4830287206266319
ACAD,buy,2014-03-25,2014-04-11,24.41,19.12,4,-21.65,-2.17,568.9100000000002,590.5600000000002,-21.649999999999977,-2.217328963539533
AAPL,buy,2013-05-29,2014-06-09,440.0,382.92,0,-12.97,-1.3,555.9400000000002,590.5600000000002,-34.620000000000005,-inf
ACIW,buy,2012-02-16,2014-07-11,35.06,28.63,2,-18.34,-1.83,537.6000000000001,590.5600000000002,-52.960000000000036,-2.615516257843696
AAL,buy,2012-07-27,2014-10-02,11.34,33.66,8,196.83,19.68,734.4300000000002,734.4300000000002,0.0,21.69642857142857
ABUS,buy,2014-08-19,2014-10-07,19.95,22.45,5,12.52,1.25,746.9500000000002,746.9500000000002,0.0,1.2551378446115289
ABUS,buy,2014-10-09,2014-10-20,23.76,18.54,4,-21.97,-2.2,724.9800000000001,746.9500000000002,-21.970000000000027,-2.3116582491582487
ABUS,buy,2014-10-29,2014-12-02,18.2,13.65,5,-25.0,-2.5,699.9800000000001,746.9500000000002,-46.97000000000003,-2.7472527472527473
ACAD,buy,2015-03-11,2015-03-12,45.75,37.85,2,-17.27,-1.73,682.7100000000002,746.9500000000002,-64.24000000000001,-1.887431693989071
AAL,buy,2014-11-11,2015-05-22,44.0,42.15,2,-4.2,-0.42,678.5100000000001,746.9500000000002,-68.44000000000005,-0.47727272727272724
ACAD,buy,2015-03-13,2015-08-07,34.69,38.99,2,12.4,1.24,690.9100000000001,746.9500000000002,-56.04000000000008,1.7872585759584896
AAXJ,buy,2011-11-10,2015-08-21,52.44,52.46,1,0.03,0.0,690.94,746.9500000000002,-56.010000000000105,0.005720823798627002
ADEA,buy,2014-08-05,2015-08-21,42.87,53.81,2,25.51,2.55,716.45,746.9500000000002,-30.500000000000114,2.9752740844413346
ACHC,buy,2015-07-14,2015-08-24,80.0,68.73,1,-14.09,-1.41,702.36,746.9500000000002,-44.590000000000146,-1.76125
ADSK,buy,2012-08-28,2015-08-24,30.51,48.75,3,59.78,5.98,762.14,762.14,0.0,6.531191958920572
AAPL,buy,2014-06-10,2015-08-24,94.73,100.9,0,3.39,0.34,765.53,765.53,0.0,inf
ADP,buy,2010-05-11,2015-08-24,42.37,67.67,2,59.72,5.97,825.25,825.25,0.0,7.047439225867358
ACAD,buy,2015-08-11,2015-09-28,38.64,32.92,2,-14.81,-1.48,810.44,825.25,-14.809999999999945,-1.9164078674948242
ADEA,buy,2015-11-05,2015-11-17,60.5,52.68,1,-12.92,-1.29,797.5200000000001,825.25,-27.729999999999905,-2.1355371900826445
AAXJ,buy,2015-10-23,2015-12-08,58.77,53.96,1,-8.18,-0.82,789.3400000000001,825.25,-35.909999999999854,-1.39186659860473
ADP,buy,2015-10-23,2016-01-04,90.0,82.5,1,-8.33,-0.83,781.0100000000001,825.25,-44.239999999999895,-0.9255555555555556
AAPL,buy,2015-10-27,2016-01-06,115.4,101.63,0,-11.93,-1.19,769.0800000000002,825.25,-56.169999999999845,-inf
ACAD,buy,2015-11-24,2016-01-06,36.91,29.56,2,-19.92,-1.99,749.1600000000002,825.25,-76.0899999999998,-2.6984557030615015
ADEA,buy,2015-11-18,2016-01-11,52.39,44.72,1,-14.65,-1.46,734.5100000000002,825.25,-90.73999999999978,-2.7963351784691737
AAL,buy,2015-10-23,2016-01-14,46.37,39.23,2,-15.4,-1.54,719.1100000000002,825.25,-106.13999999999976,-1.6605563942204014
ADSK,buy,2015-10-27,2016-01-15,53.44,49.34,1,-7.68,-0.77,711.4300000000003,825.25,-113.81999999999971,-1.4371257485029938
ADBE,buy,2011-10-25,2016-02-08,28.05,72.32,3,157.81,15.78,869.2400000000002,869.2400000000002,0.0,18.7534165181224
AAL,buy,2016-03-15,2016-04-28,42.3,35.92,2,-15.07,-1.51,854.1700000000002,869.2400000000002,-15.07000000000005,-1.7813238770685578
AAPL,buy,2016-03-16,2016-04-29,104.61,93.72,0,-10.41,-1.04,843.7600000000002,869.2400000000002,-25.480000000000018,-inf
ACAD,buy,2016-04-01,2016-06-24,27.87,31.87,3,14.34,1.43,858.1000000000003,869.2400000000002,-11.139999999999986,1.7151058485827053
ACAD,buy,2016-06-30,2016-10-04,31.21,28.56,3,-8.49,-0.85,849.6100000000002,869.2400000000002,-19.629999999999995,-0.9067606536366548
AAXJ,buy,2016-08-16,2016-11-10,59.84,56.85,1,-4.99,-0.5,844.6200000000002,869.2400000000002,-24.620000000000005,-0.8338903743315507
ADEA,buy,2016-06-01,2017-03-07,52.93,56.57,1,6.86,0.69,851.4800000000002,869.2400000000002,-17.75999999999999,1.2960513886264882
AAOI,buy,2017-03-08,2017-04-05,54.85,45.14,1,-17.7,-1.77,833.7800000000002,869.2400000000002,-35.460000000000036,-3.2269826800364627
ACAD,buy,2016-12-07,2017-05-10,27.61,30.62,3,10.91,1.09,844.6900000000002,869.2400000000002,-24.550000000000068,1.3171556199444647
AAOI,buy,2017-04-06,2017-08-04,44.76,77.56,2,73.27,7.33,917.9600000000002,917.9600000000002,0.0,8.184763181411975
AAOI,buy,2017-08-08,2017-10-13,71.75,53.81,1,-25.0,-2.5,892.9600000000002,917.9600000000002,-25.0,-3.4843205574912894
ACAD,buy,2017-10-17,2017-11-08,36.06,29.86,2,-17.19,-1.72,875.7700000000001,917.9600000000002,-42.190000000000055,-2.3835274542429286
ADEA,buy,2017-12-22,2018-02-06,43.09,33.3,2,-22.72,-2.27,853.0500000000001,917.9600000000002,-64.91000000000008,-2.6363425388721278
AAL,buy,2016-07-27,2018-04-25,36.5,44.31,2,21.4,2.14,874.45,917.9600000000002,-43.510000000000105,2.931506849315068
ACGL,buy,2011-05-13,2018-06-21,34.94,76.95,2,120.23,12.02,994.6800000000001,994.6800000000001,0.0,17.205208929593592
AAOI,buy,2018-05-11,2018-07-25,32.09,37.72,3,17.56,1.76,1012.24,1012.24,0.0,1.824036563830892
AAOI,buy,2018-07-26,2018-09-05,38.13,34.5,2,-9.52,-0.95,1002.72,1012.24,-9.519999999999982,-1.2483608707054812
AAL,buy,2018-08-29,2018-10-09,40.66,35.27,2,-13.27,-1.33,989.45,1012.24,-22.789999999999964,-1.6318248893261191
AAXJ,buy,2017-05-11,2018-10-11,65.63,63.27,1,-3.6,-0.36,985.85,1012.24,-26.389999999999986,-0.5485296358372695
ACHC,buy,2018-02-28,2018-10-11,38.33,33.76,2,-11.91,-1.19,973.94,1012.24,-38.299999999999955,-1.553613357683277
ADSK,buy,2016-03-16,2018-10-29,56.22,119.96,1,113.37,11.34,1087.31,1087.31,0.0,20.165421558164354
ACAD,buy,2018-09-27,2018-11-14,21.06,17.66,4,-16.13,-1.61,1071.1799999999998,1087.31,-16.13000000000011,-1.9147673314339981
ADBE,buy,2016-03-22,2018-11-20,92.06,208.21,1,126.17,12.62,1197.35,1197.35,0.0,13.705192265913533
AAPL,buy,2016-05-03,2018-11-23,94.2,175.1,1,85.88,8.59,1283.23,1283.23,0.0,9.116772823779193
AAL,buy,2018-10-10,2018-12-24,33.33,30.44,3,-8.69,-0.87,1274.54,1283.23,-8.690000000000055,-0.869086908690869
AAL,buy,2019-02-12,2019-03-26,36.76,30.16,2,-17.96,-1.8,1256.58,1283.23,-26.65000000000009,-2.4428726877040265
AAL,buy,2019-05-01,2019-05-23,34.3,29.5,2,-13.99,-1.4,1242.59,1283.23,-40.6400000000001,-2.0393586005830904
