symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,cumulative_pnl,cum_max,drawdown
ADSK,1986-07-29,1986-08-13,1.09,1.26,91,15.47,1.55,15.47,15.47,0.0
ADSK,1986-07-30,1986-08-13,1.09,1.26,91,15.47,1.55,30.94,30.94,0.0
ADSK,1986-07-31,1986-08-13,1.1,1.26,90,14.4,1.44,45.34,45.34,0.0
ADSK,1986-08-01,1986-08-13,1.11,1.26,90,13.5,1.35,58.84,58.84,0.0
ADSK,1987-02-20,1987-02-26,2.56,2.88,39,12.48,1.25,71.32000000000001,71.32000000000001,0.0
ADSK,1987-02-24,1987-02-26,2.48,2.88,40,16.0,1.6,87.32000000000001,87.32000000000001,0.0
ADSK,1987-02-25,1987-03-05,2.64,2.93,37,10.73,1.07,98.05000000000001,98.05000000000001,0.0
ADSK,1987-03-04,1987-03-11,2.72,2.93,36,7.56,0.76,105.61000000000001,105.61000000000001,0.0
ADSK,1987-03-10,1987-03-20,2.87,3.18,34,10.54,1.05,116.15,116.15,0.0
ADSK,1987-02-26,1987-03-20,2.85,3.18,35,11.55,1.16,127.7,127.7,0.0
ADSK,1987-03-03,1987-03-20,2.78,3.18,35,14.0,1.4,141.7,141.7,0.0
ADSK,1987-03-05,1987-03-26,2.94,3.48,34,18.36,1.84,160.06,160.06,0.0
ADSK,1987-03-06,1987-03-26,2.93,3.48,34,18.7,1.87,178.76,178.76,0.0
ADSK,1987-04-15,1987-05-04,3.16,3.4,27,6.48,0.65,185.23999999999998,185.23999999999998,0.0
ADSK,1987-04-14,1987-05-04,3.19,3.4,27,5.67,0.57,190.90999999999997,190.90999999999997,0.0
ADSK,1987-04-21,1987-08-14,3.22,3.62,28,11.2,1.12,202.10999999999996,202.10999999999996,0.0
ADSK,1987-04-16,1987-08-14,3.22,3.62,28,11.2,1.12,213.30999999999995,213.30999999999995,0.0
ADBE,1987-08-19,1987-09-29,1.03,1.17,97,13.58,1.36,226.88999999999996,226.88999999999996,0.0
ADSK,1987-05-05,1987-10-05,3.4,4.05,29,18.85,1.88,245.73999999999995,245.73999999999995,0.0
ADBE,1987-08-18,1987-10-05,1.09,1.32,91,20.93,2.09,266.66999999999996,266.66999999999996,0.0
ADSK,1987-05-06,1987-10-05,3.4,4.05,29,18.85,1.88,285.52,285.52,0.0
ADSK,1987-04-08,1987-10-06,3.53,3.78,27,6.75,0.68,292.27,292.27,0.0
ADSK,1987-04-07,1987-10-06,3.53,3.78,26,6.5,0.65,298.77,298.77,0.0
ADSK,1987-04-10,1987-10-06,3.53,3.78,27,6.75,0.68,305.52,305.52,0.0
ADSK,1987-04-09,1987-10-06,3.6,3.78,27,4.86,0.49,310.38,310.38,0.0
ADBE,1987-10-09,1988-07-08,1.15,1.27,86,10.32,1.03,320.7,320.7,0.0
ADBE,1987-10-13,1988-07-08,1.12,1.27,89,13.35,1.33,334.05,334.05,0.0
ADBE,1987-10-08,1988-10-07,1.21,1.3,82,7.38,0.74,341.43,341.43,0.0
ADBE,1987-10-07,1988-10-20,1.26,1.45,79,15.01,1.5,356.44,356.44,0.0
ADSK,1987-10-08,1989-02-08,3.71,4.09,26,9.88,0.99,366.32,366.32,0.0
ADSK,1987-10-09,1989-02-08,3.71,4.09,26,9.88,0.99,376.2,376.2,0.0
ADSK,1987-10-13,1989-02-08,3.69,4.09,27,10.8,1.08,387.0,387.0,0.0
ADBE,1989-03-07,1989-04-12,1.26,1.4,79,11.06,1.11,398.06,398.06,0.0
ADBE,1989-02-15,1989-04-12,1.26,1.4,79,11.06,1.11,409.12,409.12,0.0
ADSK,1987-10-07,1989-04-17,3.78,4.28,26,13.0,1.3,422.12,422.12,0.0
ADBE,1989-02-09,1989-04-28,1.29,1.57,77,21.56,2.16,443.68,443.68,0.0
ADBE,1989-02-16,1989-04-28,1.31,1.57,76,19.76,1.98,463.44,463.44,0.0
ADBE,1989-02-17,1989-05-01,1.34,1.53,74,14.06,1.41,477.5,477.5,0.0
ADBE,1989-02-14,1989-05-01,1.34,1.53,74,14.06,1.41,491.56,491.56,0.0
