Date,Open,High,Low,Close,Volume,SMA150,ATR10,Return_3D,AvgVolume50,ATR_Ratio,setup
2020-10-16,435.0,437.5,340.75,371.25,110454.04,,0.0,,,0.0,0
2020-10-19,368.5,374.998,350.0,369.0,13695.24,,0.0,,,0.0,0
2020-10-20,363.25,373.25,320.5,330.0,25829.12,,0.0,,,0.0,0
2020-10-21,335.5,375.0,326.0,373.5,12921.64,,0.0,0.0060606060606061,,0.0,0
2020-10-22,366.25,386.498,362.75,376.75,13141.0,,0.0,0.02100271002710019,,0.0,0
2020-10-23,384.5,384.5,365.5,377.5,7872.8,,0.0,0.14393939393939403,,0.0,0
2020-10-26,365.5,374.25,361.252,370.0,5249.6,,0.0,-0.009370816599732268,,0.0,0
2020-10-27,366.25,395.5,357.5,387.5,10993.68,,0.0,0.028533510285335018,,0.0,0
2020-10-28,381.25,398.625,373.002,378.5,5571.08,,0.0,0.0026490066225166586,,0.0,0
2020-10-29,380.75,392.5,366.25,369.5,5776.64,,37.2367,-0.0013513513513513375,,0.10077591339648173,0
2020-10-30,369.0,391.5,354.455,373.5,3480.68,,37.21753,-0.03612903225806452,,0.09964532797858099,0
2020-11-02,373.25,385.25,354.25,375.0,5857.8,,36.595777,-0.009247027741083214,,0.09758873866666666,0
2020-11-03,375.0,381.125,362.625,375.0,3822.6,,34.7861993,0.014884979702300516,,0.09276319813333334,0
2020-11-04,376.5,424.75,367.0,388.75,10233.48,,37.082579370000005,0.04082998661311921,,0.09538927169131833,0
2020-11-05,396.75,410.0,359.25,366.0,6760.48,,38.44932143300001,-0.02400000000000002,,0.10505279080054647,0
2020-11-06,370.0,402.498,356.0,377.25,7368.92,,39.25418928970001,0.006000000000000005,,0.10405351700384363,0
2020-11-09,383.5,458.375,365.25,449.5,10715.48,,44.641270360730005,0.1562700964630226,,0.09931317099161291,0
2020-11-10,456.75,456.75,397.75,401.0,6268.0,,46.077143324657,0.09562841530054644,,0.11490559432582793,0
2020-11-11,409.75,447.75,395.25,429.25,6840.44,,46.719428992191304,0.1378396288933068,,0.1088396715019017,0
2020-11-12,431.25,456.25,405.6,425.5,4723.84,,47.11248609297217,-0.05339265850945496,,0.11072264651697337,0
2020-11-13,425.5,492.75,415.015,492.5,5140.32,,50.17473748367495,0.22817955112219446,,0.10187763956076133,0
2020-11-16,493.0,528.248,493.0,522.75,4847.68,,48.73206373530746,0.2178217821782178,,0.09322250355869434,0
2020-11-17,517.5,520.75,489.125,500.0,5208.48,,47.22135736177672,0.1750881316098707,,0.09444271472355344,0
2020-11-18,500.5,523.25,470.25,500.25,5948.28,,47.799221625599046,0.015736040609137136,,0.09555066791723947,0
2020-11-19,512.25,562.5,495.0,497.5,17810.4,,49.76929946303914,-0.04830224772835967,,0.10003879289053093,0
2020-11-20,502.25,525.79,481.25,486.75,5760.88,,49.24636951673522,-0.026499999999999968,,0.10117384595117662,0
