Date,Open,High,Low,Close,Volume,SMA150,ATR10,Return_3D,AvgVolume50,ATR_Ratio,setup
2005-04-12,5.99,5.99,5.75,5.9,788990,,0.30140060928300294,-0.048387096774193505,,0.05108484903101745,0
2005-04-13,6.0,6.18,5.96,6.1,2429031,,0.29926054835470256,-0.0016366612111293755,,0.04905910628765616,0
2005-04-14,6.18,6.41,6.03,6.4,2558303,,0.30733449351923225,0.0738255033557047,,0.048021014612380036,0
2005-04-15,6.44,7.12,6.35,6.85,3104430,,0.3536010441673091,0.16101694915254217,,0.05162059038938819,0
2005-04-18,6.9,7.0,6.7,6.88,1515328,,0.3482409397505782,0.12786885245901636,,0.05061641566142125,0
2005-04-19,6.88,7.06,6.61,6.95,1655673,,0.3584168457755203,0.0859375,,0.05157076917633385,0
2005-04-20,7.4,8.84,7.36,8.36,10526353,,0.5115751611979682,0.22043795620437945,,0.061193201100235434,0
2005-04-21,8.44,8.48,7.89,8.34,2453644,,0.5194176450781715,0.21220930232558133,,0.062280293174840705,0
2005-04-22,8.26,8.45,7.96,8.16,1181766,,0.5164758805703542,0.17410071942446037,,0.06329361281499439,0
2005-04-25,8.16,8.35,8.13,8.22,700129,,0.48682829251331866,-0.0167464114832534,,0.05922485310381005,0
2005-04-26,8.09,8.47,8.06,8.19,1085227,,0.4791454632619868,-0.017985611510791366,,0.058503719568008164,0
2005-04-27,8.11,8.77,8.04,8.53,1576808,,0.5042309169357881,0.0453431372549018,,0.05911265145788842,0
2005-04-28,8.44,8.74,8.39,8.43,884803,,0.48880782524220934,0.025547445255474255,,0.057984320906549154,0
2005-04-29,8.41,8.67,8.25,8.42,613386,,0.48192704271798836,0.028083028083028205,,0.05723599082161382,0
2005-05-02,8.42,8.56,8.26,8.39,828985,,0.46373433844618955,-0.016412661195779443,,0.05527226918309768,0
2005-05-03,8.5,8.56,8.27,8.35,776035,,0.4463609046015707,-0.009489916963226541,,0.05345639576066715,0
2005-05-04,8.26,8.36,8.2,8.31,1017277,,0.4177248141414136,-0.013064133016627011,,0.05026772733350344,0
2005-05-05,8.26,8.39,8.09,8.35,705900,,0.4059523327272723,-0.00476758045292025,,0.04861704583560148,0
2005-05-06,8.33,8.58,8.33,8.43,743036,,0.3903570994545451,0.009580838323353325,1285260.82,0.04630570574787012,0
2005-05-09,8.45,8.9,8.44,8.8,1478392,,0.39832138950909063,0.05896510228640195,1300410.18,0.045263794262396656,0
2005-05-10,8.82,8.82,8.5,8.55,681838,,0.39048925055818157,0.023952095808383422,1284238.5,0.04567125737522591,0
2005-05-11,8.55,8.58,8.19,8.52,938032,,0.39044032550236346,0.01067615658362997,1288089.66,0.04582632928431496,0
2005-05-12,8.55,8.75,8.43,8.53,623101,,0.3833962929521272,-0.030681818181818366,1265417.7,0.04494681042815091,0
2005-05-13,8.55,8.73,8.28,8.35,595167,,0.3900566636569146,-0.023391812865497186,1231251.9,0.04671337289304367,0
2005-05-16,8.47,8.53,8.03,8.2,1387588,,0.4010509972912232,-0.03755868544600938,1242803.26,0.048908658206246736,0
2005-05-17,8.12,8.35,8.12,8.3,418711,,0.3839458975621009,-0.026963657678780617,1219266.74,0.04625854187495191,0
2005-05-18,8.35,8.4,8.06,8.19,617581,,0.3795513078058908,-0.01916167664670665,1214235.06,0.0463432610263603,0
2005-05-19,8.19,8.2,7.6,8.08,1389241,,0.4015961770253017,-0.014634146341463317,1228232.18,0.04970249715659675,0
2005-05-20,8.08,8.29,7.67,7.94,866694,,0.42343655932277147,-0.04337349397590362,1236157.36,0.05332954147641958,0
2005-05-23,7.4,7.5,6.96,7.34,1786298,,0.4790929033904943,-0.10378510378510375,1253344.42,0.06527151272350058,0
2005-05-24,7.24,7.49,7.2,7.29,1165438,,0.46018361305144484,-0.09777227722772275,1261188.58,0.06312532414971808,0
2005-05-25,7.26,7.29,7.15,7.19,629780,,0.4281652517463003,-0.09445843828715361,1262070.68,0.059550104554422854,0
2005-05-26,7.21,7.42,7.11,7.24,693161,,0.4163487265716702,-0.013623978201634857,1250570.22,0.05750673018945721,0
2005-05-27,7.33,7.38,7.12,7.18,440867,,0.4007138539145032,-0.015089163237311465,1250247.02,0.055809728957451704,0
2005-05-31,7.14,7.4,7.14,7.27,348074,,0.38664246852305295,0.011126564673157091,1244092.3,0.053183283153102195,0
2005-06-01,7.3,7.4,7.21,7.25,475689,,0.3669782216707477,0.0013812154696133394,1243525.92,0.05061768574768934,0
2005-06-02,7.17,7.74,7.17,7.65,685814,,0.38728039950367293,0.06545961002785528,1248912.34,0.050624888824009534,0
2005-06-03,7.62,7.75,7.55,7.57,312414,,0.3685523595533057,0.04126547455295748,1229275.1,0.04868591275472994,0
2005-06-06,7.53,7.58,7.39,7.49,504313,,0.3506971235979751,0.03310344827586209,1215097.66,0.04682204587422899,0
2005-06-07,7.38,7.57,7.1,7.28,417862,,0.36262741123817765,-0.048366013071895475,1211262.62,0.04981145758766176,0
2005-06-08,7.33,7.33,7.1,7.11,407812,,0.3493646701143599,-0.06076618229854691,1209249.82,0.049137084404270025,0
2005-06-09,7.15,7.57,7.1,7.54,507470,,0.361428203102924,0.006675567423231055,1206317.78,0.0479347749473374,0
2005-06-10,7.52,7.57,7.41,7.46,500227,,0.3412853827926316,0.024725274725274637,1204472.36,0.04574871083011148,0
2005-06-13,7.46,7.76,7.41,7.66,486074,,0.34215684451336836,0.07735583684950775,1181442.86,0.044667995367280465,0
