Date,Open,High,Low,Close,AdjClose,Volume,ATR10,ATR20,ATR40,ATR50,SMA25,SMA50,SMA100,SMA150,SMA200,ROC200,RSI3,RSI4,ADX7,DollarVolume20,DollarVolume50,AvgVolume50,ATR_Ratio,ATR_Pct,Return_3D,6D_Return,UpTwoDays,TwoDayUp,HV20,min_50,max_70,setup
2004-12-14,19.0,19.0,16.71,16.75,117.25,297863,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2004-12-15,16.99,17.35,16.75,17.279,120.953,27291,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,False,False,,,,0
2004-12-16,17.49,17.68,17.01,17.65,123.55,21932,0.0,0.0,0.0,0.0,,,,,,,100.0,,0.0,,,,0.0,0.0,,,True,True,,,,0
2004-12-17,17.75,19.0,17.25,18.02,126.14,22441,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.07582089552238802,,True,True,,,,0
2004-12-20,18.25,19.65,17.98,18.99,132.93,45571,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.09902193413970717,,True,True,,,,0
2004-12-21,19.4,19.4,18.6,19.25,134.75,5963,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.09065155807365444,,True,True,,,,0
2004-12-22,19.35,21.28,19.35,20.74,145.18,13376,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.15094339622641506,0.2382089552238804,True,True,,,,0
2004-12-23,21.0,21.38,20.36,20.79,145.53,13725,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,,,,0.0,0.0,0.09478672985782,0.2031946293188262,True,True,,,,0
2004-12-27,20.98,21.1,20.0,20.26,141.82,4834,0.0,0.0,0.0,0.0,,,,,,,67.00807271994486,74.10430583252841,0.0,,,,0.0,0.0,0.05246753246753255,0.1478753541076489,False,False,,,,0
2004-12-28,20.46,21.239,20.26,20.98,146.86,2718,1.2908999999999995,0.0,0.0,0.0,,,,,,,80.27138819398047,82.37253858346754,0.0,,,,0.06153002859866537,0.0615300285986653,0.011571841851494735,0.1642619311875695,False,False,,,,0
2004-12-29,21.1,21.1,20.25,20.95,146.65,2641,1.2468099999999995,0.0,0.0,0.0,,,,,,,78.30391905290085,80.93685428056814,0.0,,,,0.05951360381861573,0.0595136038186157,0.007696007696007756,0.1032122169562927,False,False,,,,0
2004-12-30,20.75,20.849,20.01,20.61,144.27,3334,1.2161289999999993,0.0,0.0,0.0,,,,,,,55.273080660380174,64.06404932015154,0.0,,,,0.05900674429888401,0.059006744298884,0.01727541954590306,0.0706493506493506,False,False,,,,0
2004-12-31,20.32,22.1,20.32,21.97,153.79,6231,1.2725160999999994,0.0,0.0,0.0,,,,,,,83.82230094869965,82.9835290605044,0.0,,,,0.0579206235776058,0.0579206235776058,0.047187797902764395,0.0593056894889103,False,False,,,,0
2005-01-03,24.62,24.82,22.03,22.3,156.1,30852,1.4302644899999994,0.0,0.0,0.0,,,,,,,86.8721888465002,85.46012176291669,82.94014087067286,,,,0.06413742107623316,0.0641374210762331,0.06443914081145596,0.0726310726310726,True,True,,,,0
2005-01-04,22.44,22.75,20.52,21.548,150.836,13932,1.5102380409999996,0.0,0.0,0.0,,,,,,,52.82878833184952,59.25639942419444,77.51977701570067,,,,0.07008715616298496,0.0700871561629849,0.045511887433284715,0.0635735439289237,False,False,,,,0
2005-01-05,21.5,21.5,20.22,20.351,142.457,11567,1.4920142368999996,0.0,0.0,0.0,,,,,,,27.29233947160114,35.89664124192669,71.82743878745023,,,,0.07331405026288633,0.0733140502628863,-0.07369139736003638,-0.0299809342230696,False,False,,,,0
2005-01-06,20.15,20.2,18.392,19.72,138.04,17608,1.5387128132099996,0.0,0.0,0.0,,,,,,,19.74525679416085,28.10834721673656,61.75186466967667,,,,0.07802803312423934,0.0780280331242393,-0.11569506726457413,-0.0587112171837709,False,False,,,,0
2005-01-07,19.5,19.94,18.85,19.269,134.883,5303,1.4938415318889997,0.0,0.0,0.0,,,,,,,15.23004624414493,23.292336000806717,53.115658283013616,,,,0.07752563868851522,0.0775256386885152,-0.10576387599777237,-0.0650655021834061,False,False,,,,0
2005-01-10,19.45,20.48,19.0,20.3,142.1,11114,1.4924573787000999,0.0,0.0,0.0,,,,,,,52.48669770973255,49.60880818439024,47.06727147148872,,,,0.07352006791626108,0.073520067916261,-0.0025060193602278735,-0.0760127446517978,False,False,,,,0
2005-01-11,20.4,20.4,19.62,20.0,140.0,13522,1.4212116408300897,1.4097999999999995,0.0,0.0,,,,,,,44.03875836229726,43.78134737133271,41.8829399187531,519008.35745,,,0.07106058204150448,0.0710605820415044,0.014198782961460488,-0.1031390134529148,False,False,,,,0
2005-01-12,19.971,20.26,19.5,19.77,138.39,5980,1.3550904767470808,1.3773099999999998,0.0,0.0,,,,,,,37.16046736097387,39.08774299401468,36.992528933856654,275459.32495,,,0.0685427656422398,0.0685427656422398,0.026000311380974583,-0.0825134583255986,False,False,56.97739632894398,,,0
2005-01-13,19.51,19.99,19.37,19.84,138.88,5673,1.2815814290723726,1.3394444999999997,0.0,0.0,,,,,,,41.342887194225305,41.62717735838121,32.27100628751855,257508.8815,,,0.06459583815888975,0.0645958381588897,-0.02266009852216755,-0.0251093312367942,False,False,56.350735018319,,,0
2005-01-14,19.4,21.59,19.4,20.63,144.41,4849,1.3724232861651355,1.381972275,0.0,0.0,,,,,,,72.41894308213635,64.12982385203567,32.76525137877325,243155.63499999995,,,0.06652560766675403,0.066525607666754,0.03149999999999986,0.0461460446247463,True,True,57.29768483943665,,,0
2005-01-18,19.83,21.76,19.83,21.68,151.76,16777,1.4281809575486224,1.40937366125,0.0,0.0,,,,,,,86.58659242426543,78.68881828488037,33.550684502686,241122.562,,,0.06587550542198443,0.0658755054219844,0.09661102680829536,0.1251232549691214,True,True,59.05487303447611,,,0
2005-01-19,22.95,23.47,22.001,22.702,158.914,17073,1.46436286179376,1.4284049781875,0.0,0.0,20.09396,,,,,,92.3350329527035,86.04140228738947,37.01272655735533,217232.4598,,,0.06450369402668311,0.0645036940266831,0.14425403225806455,0.1183251231527093,True,True,58.47773492643597,,,0
2005-01-20,22.9,22.9,22.05,22.5,157.5,3059,1.4029265756143838,1.3994847292781247,0.0,0.0,20.32396,,,,,,81.92570180864237,78.87031137417475,39.98019117564332,214934.4473,,,0.06235229224952817,0.0623522922495281,0.09064469219583127,0.125,False,False,58.78530628300861,,,0
2005-01-21,22.78,23.0,21.71,22.99,160.93,19685,1.3916339180529453,1.3940104928142183,0.0,0.0,20.5524,,,,,,87.18313785911674,83.35673048414066,40.74685308374774,223691.4428,,,0.06053214084614813,0.0605321408461481,0.06042435424354231,0.1628730399595346,False,False,53.5829326498062,,,0
2005-01-24,23.33,23.49,22.39,22.91,160.37,12534,1.3624705262476506,1.3793099681735077,0.0,0.0,20.7628,,,,,,81.38557883999626,79.67411288079694,42.31772041895452,223782.0023,,,0.0594705598536731,0.0594705598536731,0.009162188353448952,0.1547379032258065,False,False,53.66371241951139,,,0
2005-01-25,23.05,23.21,22.51,22.65,158.55,7173,1.2962234736228855,1.345344469764832,0.0,0.0,20.948,,,,,,61.46107710325417,66.87198242045409,43.66417813484604,227008.5828,,,0.057228409431473976,0.0572284094314739,0.006666666666666599,0.0979156568104702,False,False,52.80805267802317,,,0
2005-01-26,23.06,24.02,23.0,24.0,168.0,16913,1.303601126260597,1.3465772462765906,0.0,0.0,21.148399999999995,,,,,,86.74153506099546,84.31741645410901,46.25520363975118,244453.0008,,,0.054316713594191546,0.0543167135941915,0.04393214441061333,0.1070110701107012,False,False,55.08189183155755,,,0
2005-01-27,24.0,25.0,23.99,24.301,170.107,21974,1.2742410136345375,1.329748383962761,0.0,0.0,21.35044,,,,,,89.12693558989803,86.44022267822075,49.71659859928608,268386.06200000003,,,0.052435743946114874,0.0524357439461148,0.06071584460934076,0.0704343229671393,True,True,55.02983448513522,,,0
2005-01-28,24.261,24.6,23.59,24.1,168.7,7027,1.2478169122710838,1.3137609647646231,0.0,0.0,21.48484,,,,,,75.5175961886163,77.14291723469049,50.30457145529171,273417.91,,,0.05177663536394538,0.0517766353639453,0.06401766004415022,0.0711111111111111,False,False,54.640991836160325,,,0
2005-01-31,24.59,24.59,22.8,23.95,167.65,11811,1.3020352210439754,1.337572916526392,0.0,0.0,21.61124,,,,,,64.493771335319,69.68504800660675,46.771171123900345,280716.829,,,0.054364727392232796,0.0543647273922327,-0.002083333333333326,0.0417572857764245,False,False,50.61748333123186,,,0
2005-02-01,23.99,24.15,23.57,23.8,166.6,3972,1.2298316989395777,1.2996942707000725,0.0,0.0,21.752840000000003,,,,,,52.90861717729023,61.728200109194105,43.74254226842204,251043.529,,,0.05167360079578057,0.0516736007957805,-0.02061643553763215,0.0388476647752074,False,False,50.58814010341005,,,0
2005-02-02,23.8,24.5,23.6,24.24,169.68,11111,1.1968485290456197,1.2797095571650687,0.0,0.0,21.88324,,,,,,73.69756946294225,73.54329777521568,42.207046714928296,249499.7242,,,0.04937493931706352,0.0493749393170635,0.0058091286307053736,0.0701986754966887,False,False,48.82412857705333,,,0
2005-02-03,25.99,25.99,24.65,25.069,175.483,30759,1.2521636761410577,1.3032240793068153,0.0,0.0,22.048,,,,,,88.29768146477863,85.09927113126739,44.06185397095138,276284.5919,,,0.04994868866492711,0.0499486886649271,0.04672233820459293,0.0445416666666667,True,True,43.63657920938947,,,0
